horizon,coef,se,p_value,ci_lower,ci_upper,n_obs,variant
1,-0.457688371145818,1.24871775004455,0.714204183544208,-2.51164629134528,1.59626954905364,345,zs_exCredit
2,-0.616139393407867,1.23789814645055,0.619002676561644,-2.65230064939357,1.42002186257783,344,zs_exCredit
3,-1.31218685534496,1.35610917760287,0.333942761489237,-3.54278795466722,0.918414243977302,343,zs_exCredit
4,-3.87900462627772,1.58541402370678,0.0149374933392957,-6.48677863339155,-1.2712306191639,342,zs_exCredit
5,-5.47939803289255,1.94447053766997,0.00512473812478773,-8.67776744927929,-2.28102861650582,341,zs_exCredit
6,-5.74319749102496,2.17430469401341,0.00865072047784287,-9.31961045307052,-2.1667845289794,340,zs_exCredit
7,-6.80652892786888,2.18959743594869,0.00204448664566054,-10.4080962119527,-3.20496164378504,339,zs_exCredit
8,-8.26773256671233,2.32865409145816,0.000441023175092372,-12.0980276949627,-4.43743743846199,338,zs_exCredit
9,-8.44462137602097,2.44969492182738,0.000640650993384985,-12.4740109531133,-4.4152317989286,337,zs_exCredit
10,-8.84916916236745,2.72482108223238,0.00128526737901388,-13.3311010022712,-4.3672373224637,336,zs_exCredit
11,-10.2245298788971,3.03919188889196,0.000859691493277837,-15.2235556803426,-5.2255040774517,335,zs_exCredit
12,-10.2202288660727,3.38156164606402,0.00270888352988955,-15.7824028043611,-4.65805492778426,334,zs_exCredit
13,-9.77441409693955,3.66247635301887,0.00799788313258534,-15.7986516098266,-3.75017658405247,333,zs_exCredit
14,-10.1435705599443,3.57765268579249,0.00486929578426103,-16.0282855561428,-4.25885556374587,332,zs_exCredit
15,-9.84633127423439,3.44415303182967,0.00453070566877333,-15.5114588804153,-4.18120366805345,331,zs_exCredit
16,-8.46797888831061,3.22053439317509,0.00896872300039936,-13.7652865656466,-3.1706712109746,330,zs_exCredit
17,-6.63416132900943,3.03148573306119,0.0293662387720973,-11.6205116320868,-1.64781102593209,329,zs_exCredit
18,-6.00929198310502,3.00550167736707,0.0464149754708263,-10.952902317931,-1.06568164827906,328,zs_exCredit
1,-0.726502531249015,1.20821368092446,0.548046058336339,-2.71383718645,1.26083212395197,345,zs_exCredit_exNPL
2,-1.00225805907442,1.30090592530017,0.441590596392466,-3.14205788862706,1.13754177047822,344,zs_exCredit_exNPL
3,-1.64044507974576,1.38481540046612,0.23702502396864,-3.91826371386071,0.637373554369195,343,zs_exCredit_exNPL
4,-4.08044380393276,1.69188062517224,0.0164186581008637,-6.86333978661625,-1.29754782124927,342,zs_exCredit_exNPL
5,-5.56939051328765,2.05345602774243,0.00703400737585915,-8.94702510830514,-2.19175591827016,341,zs_exCredit_exNPL
6,-6.05806724779842,2.20423391406704,0.00631953998424942,-9.68370939600103,-2.4324250995958,340,zs_exCredit_exNPL
7,-7.10900073993422,2.21928860684515,0.00149204256558872,-10.7594056541555,-3.4585958257129,339,zs_exCredit_exNPL
8,-8.33448304296161,2.319233597023,0.000376280309563806,-12.1492828367726,-4.51968324915062,338,zs_exCredit_exNPL
9,-8.92299731075105,2.42063221924454,0.000266488629312921,-12.904582996091,-4.94141162541108,337,zs_exCredit_exNPL
10,-9.27422262015529,2.65519764167058,0.000544052182844308,-13.6416340913301,-4.90681114898044,336,zs_exCredit_exNPL
11,-10.5662882863956,2.99017309576038,0.000469418802457078,-15.4846853481698,-5.64789122462146,335,zs_exCredit_exNPL
12,-10.7108232577062,3.28440154692878,0.00122820519697491,-16.113183054537,-5.30846346087534,334,zs_exCredit_exNPL
13,-10.3666189690402,3.52243943265473,0.00348628722850156,-16.1605162455592,-4.57272169252119,333,zs_exCredit_exNPL
14,-10.9118868227142,3.44218928850229,0.00167110549781865,-16.5737843585607,-5.24998928686765,332,zs_exCredit_exNPL
15,-10.71765841202,3.29555850903206,0.00126749947538245,-16.1383697784322,-5.29694704560784,331,zs_exCredit_exNPL
16,-9.53566294205236,3.07768941040968,0.00211933591521002,-14.5980115313949,-4.47331435270986,330,zs_exCredit_exNPL
17,-7.62835596396927,2.89132000119778,0.00874060909179177,-12.3841541546168,-2.87255777332177,329,zs_exCredit_exNPL
18,-7.23128192352626,2.87903374377472,0.0125116959104723,-11.9668710190898,-2.49569282796274,328,zs_exCredit_exNPL
1,0.416654640444802,1.31764073699068,0.752038644034427,-1.75067150481332,2.58398078570293,345,zs_exCredit_exROE
2,-0.320782182612385,1.35553155258518,0.813076324773645,-2.55043317332928,1.90886880810451,344,zs_exCredit_exROE
3,-0.822972864559457,1.41227494202869,0.560471646106029,-3.14595842520802,1.50001269608911,343,zs_exCredit_exROE
4,-3.21332535875594,1.53436456764555,0.036998887904088,-5.73713048291354,-0.689520234598336,342,zs_exCredit_exROE
5,-4.21508200574423,1.87717708404289,0.0254017230036087,-7.30276354086237,-1.12740047062609,341,zs_exCredit_exROE
6,-4.30429881239519,2.04196336602582,0.0357938036515457,-7.66302966110479,-0.945567963685587,340,zs_exCredit_exROE
7,-5.75214376891131,2.15374448807781,0.00794513938157763,-9.29473820165284,-2.20954933616978,339,zs_exCredit_exROE
8,-7.58331848592852,2.37824365374679,0.00156779711234123,-11.4951811855683,-3.67145578628879,338,zs_exCredit_exROE
9,-8.95012136382001,2.57406716227865,0.000575731403755705,-13.1840850717107,-4.71615765592929,337,zs_exCredit_exROE
10,-9.15657537648439,2.89481939721402,0.00170839628602112,-13.9181295613614,-4.39502119160743,336,zs_exCredit_exROE
11,-10.8763284187487,3.35192112166875,0.00129800060555754,-16.3897480329808,-5.36290880451665,335,zs_exCredit_exROE
12,-11.7317839671018,3.59162622798528,0.00120613920585352,-17.6394833948574,-5.82408453934615,334,zs_exCredit_exROE
13,-11.8170282694747,3.97815825289511,0.00319693075599761,-18.3605163003361,-5.27354023861322,333,zs_exCredit_exROE
14,-11.8646810970117,3.94296569750145,0.00282788357669128,-18.3502825254922,-5.37907966853118,332,zs_exCredit_exROE
15,-11.2880921352089,3.63574453589491,0.00207455797071511,-17.2683597217447,-5.30782454867319,331,zs_exCredit_exROE
16,-10.4689215337506,3.45657126951296,0.00265658921885797,-16.1544753232253,-4.78336774427601,330,zs_exCredit_exROE
17,-8.65234389758937,3.28837667632585,0.00892319797596581,-14.0612422004266,-3.24344559475217,329,zs_exCredit_exROE
18,-8.29772767010218,3.28999859908393,0.0121549028061888,-13.7092937984706,-2.88616154173372,328,zs_exCredit_exROE
1,-1.08378947471528,1.14052231612591,0.342668703946347,-2.95978174301408,0.792202793583518,345,zs_exCredit_exLiquidez
2,-1.7991935547881,1.23451976334025,0.1459473629837,-3.82979786506158,0.231410755485373,344,zs_exCredit_exLiquidez
3,-2.91378258294587,1.41163289445263,0.0397826822050496,-5.23571206931028,-0.591853096581456,343,zs_exCredit_exLiquidez
4,-4.67719180543765,1.73247899520627,0.00729649536210233,-7.52686616431993,-1.82751744655537,342,zs_exCredit_exLiquidez
5,-6.75540250143329,2.03514301540487,0.0010030447525679,-10.1029148716869,-3.40789013117963,341,zs_exCredit_exLiquidez
6,-6.85251489687136,2.20071648073863,0.00200938451501598,-10.4723713821062,-3.23265841163655,340,zs_exCredit_exLiquidez
7,-7.37510332469325,2.22746973848726,0.0010332702544212,-11.0389650029687,-3.71124164641783,339,zs_exCredit_exLiquidez
8,-8.97504484888098,2.2641798449396,9.05811314746788e-05,-12.6992892789003,-5.25080041886167,338,zs_exCredit_exLiquidez
9,-9.18812736280197,2.41503054094496,0.000169614771910795,-13.1604991072739,-5.21575561833008,337,zs_exCredit_exLiquidez
10,-9.22336103327325,2.74683179316255,0.00087887996884734,-13.7414972708823,-4.70522479566421,336,zs_exCredit_exLiquidez
11,-10.4533414850924,2.8859033852127,0.000338938390557226,-15.2002301352911,-5.70645283489377,335,zs_exCredit_exLiquidez
12,-10.0460317315402,3.23451094345988,0.0020652327883876,-15.3663287883044,-4.72573467477598,334,zs_exCredit_exLiquidez
13,-9.21592140442297,3.45411520095275,0.00801420265428907,-14.8974353206183,-3.53440748822763,333,zs_exCredit_exLiquidez
14,-9.14616320784987,3.36549560537665,0.00693211487674705,-14.6819108608429,-3.61041555485685,332,zs_exCredit_exLiquidez
15,-8.89722492689629,3.41659358090045,0.00964057089826115,-14.5170212702595,-3.27742858353306,331,zs_exCredit_exLiquidez
16,-8.13936306015467,3.26018005217475,0.0130431833912338,-13.5018820434891,-2.7768440768202,330,zs_exCredit_exLiquidez
17,-6.70389284254553,3.09226800589975,0.0309036645380052,-11.7902210875557,-1.61756459753532,329,zs_exCredit_exLiquidez
18,-6.18982168832737,3.1080412083755,0.0472781895462312,-11.3020945426384,-1.0775488340163,328,zs_exCredit_exLiquidez
1,0.211021810257255,1.16752885737974,0.856679503206759,-1.70939226537431,2.13143588588882,345,zs_exCredit_exRatioCD
2,0.259304848394232,1.15788752715642,0.822936272032709,-1.64525065025088,2.16386034703934,344,zs_exCredit_exRatioCD
3,-0.0680619663623571,1.31007162227052,0.958597500014781,-2.22293802582022,2.08681409309551,343,zs_exCredit_exRatioCD
4,-2.35868535067788,1.46013246659056,0.107178710404608,-4.76038953417897,0.0430188328232051,342,zs_exCredit_exRatioCD
5,-3.64032205693166,1.70233336008276,0.0332157493446603,-6.44041125854426,-0.840232855319048,341,zs_exCredit_exRatioCD
6,-3.8231110265994,1.98079252975977,0.0544548502026695,-7.08122480341314,-0.564997249785668,340,zs_exCredit_exRatioCD
