horizon,coef,se,p_value,ci_lower,ci_upper,n_obs,sample,fci,outcome
1,-0.60669241013955,0.913148682166872,0.507381416904034,-2.10868833194769,0.895303511668585,173,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
2,-0.431363107633834,0.860158196951394,0.616709413122059,-1.84619743764137,0.983471222373704,172,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
3,-0.650563136131617,1.09475881474325,0.553182579563414,-2.45128114319915,1.15015487093591,171,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
4,-1.65135294683298,1.21385228642424,0.175621498633087,-3.64796228274122,0.345256389075263,170,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
5,-2.34004745464143,1.25681094336539,0.0644755312500217,-4.40731749322829,-0.272777416054569,169,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
6,-2.26942641603031,1.18081742272187,0.056428099114833,-4.21169823656187,-0.327154595498745,168,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
7,-3.77141716557537,1.19297650526005,0.00188712373532529,-5.73368889712026,-1.80914543403049,167,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
8,-4.82324486583835,1.39216539975675,0.000686991979150535,-7.11315317294459,-2.53333655873211,166,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
9,-4.20726156823224,1.25863830662293,0.00104156614611634,-6.27753735190102,-2.13698578456345,165,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
10,-4.14752118474359,1.35409114104204,0.00259021894808907,-6.37480290930944,-1.92023946017774,164,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
11,-4.2669631805055,1.54558569467019,0.00647742969806461,-6.80922541614808,-1.72470094486293,163,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
12,-3.99971875072756,1.7132291521228,0.020881140797161,-6.81772993539575,-1.18170756605937,162,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
13,-3.90575231984335,2.08771570373598,0.0633172809208269,-7.33973906717702,-0.471765572509673,161,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
14,-3.91351689368958,2.07588448190684,0.061345928791184,-7.32804301288633,-0.498990774492833,160,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
15,-4.48494021085329,2.12230128857906,0.0362576222466868,-7.97581518285635,-0.994065238850236,159,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
16,-4.26757264899243,2.14920314868711,0.0489319232964987,-7.80269724316594,-0.732448054818915,158,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
17,-3.79932799112007,2.09548990465582,0.0718708217314022,-7.24610216103339,-0.352553821206747,157,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
18,-3.15660938295714,1.99243461022332,0.115304602918492,-6.43387267804661,0.120653912132321,156,post-IT,FCI_exCredit_AVG,"Total (measured, published)"
1,-1.36507332390423,0.478731025540765,0.00491918980517122,-2.15251578759916,-0.577630860209306,173,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
2,-1.48068698763298,0.508467597326018,0.00410046707715909,-2.31704175928198,-0.644332215983975,172,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
3,-1.62317238350105,0.699029455486742,0.0214914085917651,-2.77297351870433,-0.473371248297768,171,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
4,-2.33628119133065,0.940177440884301,0.0139927177180589,-3.88273546494714,-0.78982691771415,170,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
5,-2.54124508752057,1.04564285680843,0.0162053020907265,-4.26117453303781,-0.821315642003331,169,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
6,-2.51542164943852,1.04455515289135,0.017193716825153,-4.2335619812227,-0.797281317654334,168,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
7,-3.06615490465817,1.14018916488641,0.00794222674011349,-4.94159918793236,-1.19071062138398,167,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
8,-3.26673507587683,1.20603142099528,0.00751516260369612,-5.25048023291835,-1.28298991883531,166,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
9,-3.73515666829605,1.25712259498653,0.00344281944900445,-5.80293932818229,-1.66737400840982,165,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
10,-3.68809951015598,1.4321032670392,0.0109626870740966,-6.04369976311446,-1.33249925719749,164,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
11,-3.77730148972304,1.57098855347759,0.0174018647020728,-6.36134770980991,-1.19325526963618,163,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
12,-3.54881706988071,1.73669976223089,0.0427486780017706,-6.40543397271195,-0.692200167049475,162,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
13,-2.90393428337437,1.80027800885733,0.108836036143006,-5.86512809576431,0.0572595290155795,161,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
14,-2.79248034813879,1.8194424705063,0.126953644424255,-5.78519689478063,0.200236198503043,160,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
15,-3.24194963279756,1.70733729844292,0.0595325247332651,-6.05026958057093,-0.433629685024191,159,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
16,-3.09043800770215,1.65152866317127,0.0632966076857195,-5.80696091933372,-0.373915096070576,158,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
17,-2.7820071651311,1.62161752519083,0.0883611086462564,-5.4493306329693,-0.114683697292894,157,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
18,-2.70811413237476,1.63621026734421,0.10006427892263,-5.39944052507112,-0.0167877396783971,156,post-IT,FCI_exCredit_AVG,Total (FX-adjusted)
1,0.291293549317736,1.65663583871343,0.860643653411739,-2.43362991852784,3.01621701716331,173,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
2,-0.140381136775646,1.93611561987961,0.942288759741334,-3.32500793633202,3.04424566278073,172,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
3,-0.6034791607077,2.13780748822708,0.778086879901122,-4.11985956144202,2.91290124002663,171,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
4,-1.68395462191798,2.03292255896614,0.408718640615934,-5.02781466634491,1.65990542250895,170,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
5,-2.67064161651552,1.80731199909257,0.141482148944824,-5.64340531325585,0.302122080224806,169,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
6,-2.8271254748681,2.00852328690547,0.161236957900536,-6.13085228815105,0.476601338414848,168,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
7,-5.03279129075352,2.24098447839616,0.026121825329519,-8.7188827379854,-1.34669984352164,167,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
8,-6.90431008773428,2.25708652557219,0.00261765397836367,-10.616887045665,-3.19173312980357,166,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
9,-5.47880335409459,1.75834486026829,0.0021881192961686,-8.37102327493836,-2.58658343325082,165,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
10,-5.91023966523829,2.02014286304261,0.00396112804076471,-9.23307898047405,-2.58740035000253,164,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
11,-6.90283826840589,1.91282843789709,0.000417076428437241,-10.0491610622168,-3.75651547459494,163,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
12,-6.71578500318768,2.75513405212774,0.0159485176467433,-11.2475772415675,-2.18399276480786,162,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
13,-6.80151989302794,3.06565521789191,0.0280147883518384,-11.8440739971601,-1.75896578889573,161,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
14,-6.2697929239416,3.21165183907437,0.0527889402243155,-11.5524900999484,-0.987095747934767,160,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
15,-7.3834230016839,3.47506193988015,0.0352740281867522,-13.0993912373768,-1.66745476599102,159,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
16,-7.39499260178137,3.19822868799099,0.0221542134983087,-12.6556106590436,-2.13437454451915,158,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
17,-6.55482789503644,3.11279057348892,0.0369356911269237,-11.67491275978,-1.43474303029283,157,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
18,-5.52572438965005,3.26006818644431,0.0922272009927154,-10.8880593702321,-0.163389409068018,156,post-IT,FCI_exCredit_AVG,"USD (measured PYG-valued, published)"
1,-1.36698975888011,0.75471859929609,0.0719534496654131,-2.60839138426002,-0.125588133500201,173,post-IT,FCI_exCredit_AVG,USD (in dollars)
2,-2.09887067733329,0.929920625293675,0.0253502753131623,-3.62845399062458,-0.569287364042013,172,post-IT,FCI_exCredit_AVG,USD (in dollars)
3,-2.23764999986147,1.17037366318238,0.0576748397501239,-4.16274336463548,-0.312556635087462,171,post-IT,FCI_exCredit_AVG,USD (in dollars)
4,-2.74375866725174,1.49329894866189,0.0680203840348854,-5.20001685908106,-0.287500475422421,170,post-IT,FCI_exCredit_AVG,USD (in dollars)
5,-3.32395650503368,1.68988225666265,0.0509374822944733,-6.10356546402618,-0.544347546041175,169,post-IT,FCI_exCredit_AVG,USD (in dollars)
6,-3.81554854422945,1.98873344759694,0.0568518457407592,-7.08672396854897,-0.544373119909921,168,post-IT,FCI_exCredit_AVG,USD (in dollars)
7,-3.85415228101007,2.23001999460441,0.0859124327379811,-7.52220875730945,-0.186095804710702,167,post-IT,FCI_exCredit_AVG,USD (in dollars)
8,-4.04714191161409,2.31774259618093,0.0827649142744931,-7.85948922728221,-0.23479459594597,166,post-IT,FCI_exCredit_AVG,USD (in dollars)
9,-5.05660671395046,2.48327593993804,0.0434372711564139,-9.14123215047887,-0.971981277422052,165,post-IT,FCI_exCredit_AVG,USD (in dollars)
10,-5.12237040630938,2.65971684720513,0.0559702178311912,-9.49721530909867,-0.747525503520098,164,post-IT,FCI_exCredit_AVG,USD (in dollars)
11,-5.55923055100279,2.71127678519194,0.0420422221527542,-10.0188840047951,-1.09957709721049,163,post-IT,FCI_exCredit_AVG,USD (in dollars)
