horizon,coef,se,p_value,n_obs,outcome,shock,role
1,4.12048232460902,2.432612924791,0.0931759155680293,114,Electricidad,FCI,placebo
2,5.93662680109143,2.58898824707242,0.0238014175611146,113,Electricidad,FCI,placebo
3,6.06448999165185,2.5853910061882,0.0208532541829312,112,Electricidad,FCI,placebo
4,2.48486666668409,2.04808450097413,0.227751314587389,111,Electricidad,FCI,placebo
5,-0.429542664152139,2.24637743955661,0.848729400649076,110,Electricidad,FCI,placebo
6,-5.46979285547349,2.14337871086616,0.0121803710668509,109,Electricidad,FCI,placebo
7,-5.28836996437455,2.49677003394566,0.0365978005597225,108,Electricidad,FCI,placebo
8,-2.8519326034908,3.0881962516439,0.357950510127759,107,Electricidad,FCI,placebo
1,-4.23721844089917,1.20453762939832,0.00122705017656911,41,Electricidad,shk_dxy,placebo
2,-3.41401117530363,0.992056077222073,0.00155133811998379,40,Electricidad,shk_dxy,placebo
3,-3.93686711423448,1.5005882018711,0.0130736558820124,39,Electricidad,shk_dxy,placebo
4,2.50867606318399,1.52412497199264,0.109556556537104,38,Electricidad,shk_dxy,placebo
5,4.75000022606003,1.9736662289747,0.0222453655887353,37,Electricidad,shk_dxy,placebo
6,6.48311423709436,2.22558439576662,0.00670014049399647,36,Electricidad,shk_dxy,placebo
7,5.91951766200559,1.96734407349282,0.00537850975519253,35,Electricidad,shk_dxy,placebo
8,2.70740684791009,2.43894266093061,0.276409866531742,34,Electricidad,shk_dxy,placebo
1,-1.93148252990748,1.56321065507947,0.219293096540873,114,Consumo_Publico,FCI,placebo
2,-1.50428831701851,1.76305640029997,0.395439101052086,113,Consumo_Publico,FCI,placebo
3,-2.54423951412815,2.06424594890514,0.220478912867018,112,Consumo_Publico,FCI,placebo
4,-4.7904665913926,2.28355133677595,0.0383216430879164,111,Consumo_Publico,FCI,placebo
5,-3.28254213978794,2.01828827911453,0.106891168101116,110,Consumo_Publico,FCI,placebo
6,-2.364346247577,1.84850517144182,0.203750577393573,109,Consumo_Publico,FCI,placebo
7,-1.23513816800826,2.17133080318313,0.570715632063778,108,Consumo_Publico,FCI,placebo
8,-0.426221946492509,2.18881954620751,0.845997947395542,107,Consumo_Publico,FCI,placebo
1,-0.0563595504672067,1.12353636776883,0.960277967465124,41,Consumo_Publico,shk_dxy,placebo
2,-0.489036401108065,0.842970969471905,0.56564920506272,40,Consumo_Publico,shk_dxy,placebo
3,-0.685947432563748,1.05582538743186,0.520396680636417,39,Consumo_Publico,shk_dxy,placebo
4,1.3344681855136,1.12798079879517,0.245500888448022,38,Consumo_Publico,shk_dxy,placebo
5,-1.01935114418893,1.20919790726737,0.405687302621129,37,Consumo_Publico,shk_dxy,placebo
6,-0.268246386015964,0.687841972857296,0.699304576818315,36,Consumo_Publico,shk_dxy,placebo
7,1.16546432196496,0.633141419725963,0.0759091108369969,35,Consumo_Publico,shk_dxy,placebo
8,-1.17041884321559,1.83884474705724,0.529622112682295,34,Consumo_Publico,shk_dxy,placebo
1,-4.06249639252859,5.88861159647353,0.491742920639966,114,Agricultura,FCI,placebo
2,-1.34392162984901,5.86680885734516,0.819250228961433,113,Agricultura,FCI,placebo
3,1.85700426783714,4.76770445921724,0.697690322083797,112,Agricultura,FCI,placebo
4,8.24261574407832,4.20756093112344,0.0527644542726437,111,Agricultura,FCI,placebo
5,14.8980273597362,8.06168522670233,0.0674433854810177,110,Agricultura,FCI,placebo
6,9.53900259894047,6.4708404834744,0.143490551303103,109,Agricultura,FCI,placebo
7,8.02776097502115,5.42056269771348,0.141693622292911,108,Agricultura,FCI,placebo
8,3.1651098484008,7.22273527517655,0.662166376692271,107,Agricultura,FCI,placebo
1,-3.01051048182569,3.31013951862768,0.369316795300813,41,Agricultura,shk_dxy,placebo
2,-6.1990024416205,4.86669743672003,0.211387630126303,40,Agricultura,shk_dxy,placebo
3,-1.00814246999066,4.20257047807651,0.811901651761341,39,Agricultura,shk_dxy,placebo
4,4.03227270027748,2.53202870313035,0.12110236944906,38,Agricultura,shk_dxy,placebo
5,9.69788945078797,4.05231791702652,0.0229455278253778,37,Agricultura,shk_dxy,placebo
6,11.4197421969654,6.30150337190693,0.0799718591907671,36,Agricultura,shk_dxy,placebo
7,6.30304081932275,4.80001984626484,0.199435803481021,35,Agricultura,shk_dxy,placebo
8,-6.33168987958699,4.24004646333549,0.146540880515462,34,Agricultura,shk_dxy,placebo
1,-2.31839583476901,1.4163246511639,0.104560046018615,114,PIB,FCI,contrast
2,-1.62459571298283,1.42453481616782,0.256649516127483,113,PIB,FCI,contrast
3,-1.12792617429683,1.23961164897968,0.36493811200647,112,PIB,FCI,contrast
4,1.47892549687186,1.03760572726832,0.157029156112303,111,PIB,FCI,contrast
5,3.27019938156744,1.24045159571159,0.00966512418819825,110,PIB,FCI,contrast
6,1.7542391798997,1.23789307637752,0.159466498143524,109,PIB,FCI,contrast
7,2.43927019169546,0.934238877000783,0.0103891122895675,108,PIB,FCI,contrast
8,1.48453979072859,0.978353336877065,0.132293116134053,107,PIB,FCI,contrast
1,-0.854926974413185,0.853661473182852,0.323467580637845,41,PIB,shk_dxy,contrast
2,-1.17047085384961,0.699494808290536,0.103444295890824,40,PIB,shk_dxy,contrast
3,-1.86956728312578,0.733042723305418,0.0155846927823592,39,PIB,shk_dxy,contrast
4,-1.30260491435915,0.696237587664231,0.0705248185883874,38,PIB,shk_dxy,contrast
5,0.200974377958412,1.11526778701783,0.858166211949892,37,PIB,shk_dxy,contrast
6,0.529329218225173,0.939608565045035,0.577382885238165,36,PIB,shk_dxy,contrast
