horizon,coef,se,p_value,n_obs,outcome,shock,assembly,role
1,3.57492751646998,1.86701982226787,0.0582685165927698,112,Electricidad,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
2,2.99034855238394,1.99280661728224,0.136525695958183,111,Electricidad,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
3,3.99169119798726,1.96612867931249,0.0449362107037487,110,Electricidad,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
4,1.47289759017538,1.60291679802362,0.360344551310014,109,Electricidad,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
5,-0.358086479345677,1.53250526170485,0.815725951809286,108,Electricidad,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
6,-3.24965763104926,1.62646384463845,0.0484609522418475,107,Electricidad,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
7,-4.38405460522878,1.64129858827669,0.00885364282477315,106,Electricidad,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
8,-3.00237346177883,2.27239946230883,0.189531219394721,105,Electricidad,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
1,-2.28013463553309,1.24924179711736,0.0708386860332354,112,Consumo_Publico,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
2,-0.627973248760877,1.19274942421075,0.599678227359498,111,Consumo_Publico,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
3,-1.3482233930881,1.58192599406984,0.396062593248966,110,Consumo_Publico,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
4,-3.79921950875263,1.93269775077805,0.0520719511121614,109,Consumo_Publico,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
5,-2.69893079358357,1.30097737103921,0.0405973672100257,108,Consumo_Publico,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
6,-2.59342225712372,1.20149538672925,0.0333066866127812,107,Consumo_Publico,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
7,-1.2752369299357,1.44110166586976,0.378374311837784,106,Consumo_Publico,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
8,0.481512897548577,1.4576500108453,0.741859217380713,105,Consumo_Publico,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
1,-3.90000871331001,4.1641201625505,0.351147272198377,112,Agricultura,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
2,-3.83004217440275,4.99406607065945,0.444884226554731,111,Agricultura,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
3,-0.225239441651701,3.62413241269698,0.950565087803076,110,Agricultura,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
4,3.26438918462985,3.29238192209854,0.323812041927709,109,Agricultura,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
5,9.04467244455495,5.37296008285272,0.0954232270163083,108,Agricultura,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
6,8.96265088401214,5.75025470447114,0.122269712008618,107,Agricultura,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
7,6.96430119385214,4.07924899763714,0.0909419128022165,106,Agricultura,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
8,5.1025103398939,5.00131934816596,0.310155873980794,105,Agricultura,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",placebo
1,-1.79523382818504,1.16252667242027,0.125564891685504,112,PIB,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",contrast
2,-1.62777980153575,1.04268415185989,0.121557240052949,111,PIB,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",contrast
3,-1.13482688469283,0.916442515440911,0.218448849720517,110,PIB,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",contrast
4,-0.348745443653504,0.936358168989299,0.710339142094705,109,PIB,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",contrast
5,2.28614884292202,0.9870256164914,0.0225884869371328,108,PIB,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",contrast
6,1.003912293449,1.02210872771525,0.328396984043847,107,PIB,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",contrast
7,1.36799090457446,0.881495018249485,0.12391004170716,106,PIB,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",contrast
8,1.49056245758496,0.695188801657355,0.0345233517095538,105,PIB,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",contrast
1,-2.14337777429985,1.21887571252596,0.0816061926594828,112,PIB_exAE,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",contrast
2,-1.90151583897662,1.00465254322513,0.0612038944044532,111,PIB_exAE,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",contrast
3,-1.82433404924106,0.870951236877095,0.0386800593655577,110,PIB_exAE,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",contrast
4,-1.00680005644569,0.965105292357604,0.299345143999185,109,PIB_exAE,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",contrast
5,1.90404894878291,1.0434377644367,0.0710191089970699,108,PIB_exAE,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",contrast
6,0.61874325983097,0.971913997600723,0.525839409623949,107,PIB_exAE,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",contrast
7,1.45924946864655,0.857204315507384,0.0918625801114844,106,PIB_exAE,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",contrast
8,1.50254016488715,0.61864716224618,0.0169926699873867,105,PIB_exAE,FCI,"Table10 (end-of-quarter FCI, IPC + 2 lags)",contrast
