"sample","fci_type","credit_type","horizon","b","se","p","n","ci90_lo","ci90_hi","ci95_lo","ci95_hi","sig90","sig95"
"full","FCI_COMP","Total",6,-3.239,1.719,0.06,340,-6.066,-0.412,-6.608,0.129,TRUE,FALSE
"full","FCI_COMP","Total",12,-7.656,2.745,0.006,334,-12.171,-3.141,-13.036,-2.276,TRUE,TRUE
"full","FCI_COMP","Total",18,-4.28,2.573,0.097,328,-8.513,-0.047,-9.324,0.763,TRUE,FALSE
"full","FCI_ENDO","Total",6,-4.411,1.778,0.014,340,-7.335,-1.486,-7.895,-0.926,TRUE,TRUE
"full","FCI_ENDO","Total",12,-7.948,2.789,0.005,334,-12.535,-3.361,-13.414,-2.483,TRUE,TRUE
"full","FCI_ENDO","Total",18,-3.16,2.931,0.282,328,-7.981,1.66,-8.905,2.584,FALSE,FALSE
"full","FCI_EXO","Total",6,0.287,1.925,0.882,340,-2.879,3.453,-3.486,4.06,FALSE,FALSE
"full","FCI_EXO","Total",12,-2.681,2.086,0.2,334,-6.112,0.751,-6.77,1.409,FALSE,FALSE
"full","FCI_EXO","Total",18,-2.705,1.907,0.157,328,-5.843,0.432,-6.444,1.033,FALSE,FALSE
"postIT","FCI_exCredit","Cred_Total",6,-1.645,1.766,0.353,168,-4.55,1.26,-5.107,1.816,FALSE,FALSE
"postIT","FCI_exCredit","Cred_Total",12,-5.312,1.553,0.001,162,-7.867,-2.758,-8.356,-2.269,TRUE,TRUE
"postIT","FCI_exCredit","Cred_Total",18,-3.46,2.639,0.192,156,-7.801,0.88,-8.632,1.712,FALSE,FALSE
"postIT","FCI_exCredit","Cred_Real_MN",6,-0.921,1.392,0.509,168,-3.21,1.369,-3.649,1.808,FALSE,FALSE
"postIT","FCI_exCredit","Cred_Real_MN",12,-3.094,1.345,0.023,162,-5.306,-0.882,-5.73,-0.458,TRUE,TRUE
"postIT","FCI_exCredit","Cred_Real_MN",18,-2.319,1.701,0.175,156,-5.117,0.478,-5.653,1.014,FALSE,FALSE
"postIT","FCI_exCredit","Cred_USD",6,-0.343,2.606,0.895,168,-4.629,3.942,-5.45,4.763,FALSE,FALSE
"postIT","FCI_exCredit","Cred_USD",12,-7.238,2.496,0.004,162,-11.344,-3.132,-12.13,-2.345,TRUE,TRUE
"postIT","FCI_exCredit","Cred_USD",18,-5.516,4.449,0.217,156,-12.835,1.802,-14.236,3.204,FALSE,FALSE
"postIT","FCI_ENDO_exCredit","Cred_Total",6,-2.97,1.396,0.035,168,-5.267,-0.674,-5.707,-0.234,TRUE,TRUE
"postIT","FCI_ENDO_exCredit","Cred_Total",12,-5.6,1.895,0.004,162,-8.717,-2.482,-9.314,-1.885,TRUE,TRUE
"postIT","FCI_ENDO_exCredit","Cred_Total",18,-4.217,1.813,0.021,156,-7.199,-1.236,-7.77,-0.665,TRUE,TRUE
"postIT","FCI_ENDO_exCredit","Cred_Real_MN",6,-0.429,1.123,0.703,168,-2.277,1.419,-2.631,1.772,FALSE,FALSE
"postIT","FCI_ENDO_exCredit","Cred_Real_MN",12,-1.686,1.571,0.285,162,-4.27,0.898,-4.765,1.393,FALSE,FALSE
"postIT","FCI_ENDO_exCredit","Cred_Real_MN",18,-3.557,0.923,0,156,-5.075,-2.04,-5.366,-1.749,TRUE,TRUE
"postIT","FCI_ENDO_exCredit","Cred_USD",6,-6.349,2.503,0.012,168,-10.467,-2.232,-11.256,-1.443,TRUE,TRUE
"postIT","FCI_ENDO_exCredit","Cred_USD",12,-12.84,3.166,0,162,-18.047,-7.632,-19.044,-6.635,TRUE,TRUE
"postIT","FCI_ENDO_exCredit","Cred_USD",18,-7.347,3.72,0.05,156,-13.467,-1.228,-14.639,-0.056,TRUE,TRUE
"postIT","FCI_exCredit","Cred_Total",6,-1.645,1.766,0.353,168,-4.55,1.26,-5.107,1.816,FALSE,FALSE
"postIT","FCI_exCredit","Cred_Total",12,-5.312,1.553,0.001,162,-7.867,-2.758,-8.356,-2.269,TRUE,TRUE
"postIT","FCI_exCredit","Cred_Total",18,-3.46,2.639,0.192,156,-7.801,0.88,-8.632,1.712,FALSE,FALSE
"postIT","FCI_ENDO_exCredit","Cred_Total",6,-2.97,1.396,0.035,168,-5.267,-0.674,-5.707,-0.234,TRUE,TRUE
"postIT","FCI_ENDO_exCredit","Cred_Total",12,-5.6,1.895,0.004,162,-8.717,-2.482,-9.314,-1.885,TRUE,TRUE
"postIT","FCI_ENDO_exCredit","Cred_Total",18,-4.217,1.813,0.021,156,-7.199,-1.236,-7.77,-0.665,TRUE,TRUE
"postIT","FCI_EXO","Cred_Total",6,0.405,2.346,0.863,168,-3.454,4.265,-4.193,5.004,FALSE,FALSE
"postIT","FCI_EXO","Cred_Total",12,-2.555,2.835,0.369,162,-7.218,2.109,-8.112,3.003,FALSE,FALSE
"postIT","FCI_EXO","Cred_Total",18,-3.715,3.023,0.221,156,-8.687,1.258,-9.64,2.211,FALSE,FALSE
