horizon,coef,se,p_value,ci_lower,ci_upper,n_obs,outcome,inference
1,0.632230892281816,0.985222395309693,0.521499114968697,-0.988315737997149,2.25277752256078,345,Total,baseline + Newey-West
2,0.695913520987735,1.041029719231,0.504286689559859,-1.01642798845365,2.40825503042912,344,Total,baseline + Newey-West
3,-0.245538929167303,1.16906503860226,0.833772957342215,-2.1684797980544,1.67740193971979,343,Total,baseline + Newey-West
4,-2.48161857406138,1.22890643081264,0.0442542455463826,-4.50298977396753,-0.460247374155228,342,Total,baseline + Newey-West
5,-3.01555763461934,1.39329863944418,0.0311558675171071,-5.30732995513564,-0.723785314103032,341,Total,baseline + Newey-West
6,-3.23940612126519,1.71866693416473,0.0603331327016335,-6.06636166144761,-0.41245058108277,340,Total,baseline + Newey-West
7,-4.19826897028938,1.75722414203249,0.0174521510622566,-7.08864547367822,-1.30789246690055,339,Total,baseline + Newey-West
8,-5.74198219306853,1.85143693010736,0.00209398410607431,-8.78732494262753,-2.69663944350953,338,Total,baseline + Newey-West
9,-5.71522151462666,1.94840978724343,0.00359164911842604,-8.92007041996177,-2.51037260929156,337,Total,baseline + Newey-West
10,-6.250382920102,2.22902769428903,0.00534939836634321,-9.9168072076286,-2.58395863257541,336,Total,baseline + Newey-West
11,-7.40519796608836,2.54796117756302,0.00390890188858955,-11.5962211503344,-3.21417478184229,335,Total,baseline + Newey-West
12,-7.65628048038673,2.74502470347937,0.00559825152330609,-12.1714443199762,-3.14111664079731,334,Total,baseline + Newey-West
13,-7.97473739828044,2.90221607837494,0.00633752809707411,-12.7484580409923,-3.20101675556854,333,Total,baseline + Newey-West
14,-7.97170165165561,2.90925482288054,0.00648531712719614,-12.7569999987967,-3.18640330451449,332,Total,baseline + Newey-West
15,-7.40133279660076,2.75508840436095,0.00759922505161104,-11.9330499510858,-2.86961564211572,331,Total,baseline + Newey-West
16,-6.10013547399511,2.6918115502566,0.0241098495536588,-10.5277714655046,-1.67249948248567,330,Total,baseline + Newey-West
17,-5.10677349376024,2.64292148595491,0.0542171825551658,-9.45399248568116,-0.759554501839328,329,Total,baseline + Newey-West
18,-4.28019524327447,2.57334561856582,0.0972446067241827,-8.51297211737214,-0.0474183691767927,328,Total,baseline + Newey-West
19,-3.54790071812137,2.37833853707011,0.136760737946233,-7.45991948693959,0.364118050696858,327,Total,baseline + Newey-West
20,-2.9992176648671,2.46562045505769,0.224737563730304,-7.05480241305448,1.05636708332029,326,Total,baseline + Newey-West
21,-2.1243696669872,2.35218545393315,0.367140101021225,-5.99337044215164,1.74463110817724,325,Total,baseline + Newey-West
22,-1.04228156277427,2.38685544039996,0.662647696970983,-4.96830939092499,2.88374626537646,324,Total,baseline + Newey-West
23,-0.31300223313224,2.337907873411,0.893582724018599,-4.15851847819072,3.53251401192624,323,Total,baseline + Newey-West
24,-0.159731522181887,2.10312260553279,0.93950795264341,-3.61906036781613,3.29959732345235,322,Total,baseline + Newey-West
1,0.50307786646736,0.997319551848636,0.614296925657091,-1.13736681562048,2.1435225485552,344,Total,lag-augmented + EHW
2,0.569027869084164,1.04071664171096,0.584911670305713,-1.14279867366287,2.2808544118312,343,Total,lag-augmented + EHW
3,-0.181607358938325,1.2857988138254,0.887766620536076,-2.29655820138894,1.93334348351229,342,Total,lag-augmented + EHW
4,-2.44014983539208,1.31906714557139,0.0652319540732957,-4.6098222139777,-0.270477456806445,341,Total,lag-augmented + EHW
5,-2.99798021600341,1.47020035298212,0.0422422773376772,-5.41624459895139,-0.57971583305543,340,Total,lag-augmented + EHW
6,-3.23688747979612,1.62682605855433,0.0474648705547779,-5.91277822262838,-0.560996736963864,339,Total,lag-augmented + EHW
7,-4.06721225801293,1.77047431644381,0.0222439981219972,-6.97938335883995,-1.1550411571859,338,Total,lag-augmented + EHW
8,-5.76142730711645,1.80933251668489,0.00159298489440458,-8.73751445954682,-2.78534015468608,337,Total,lag-augmented + EHW
9,-5.71873281523147,1.87306065426195,0.00245388321929405,-8.79964342589433,-2.63782220456862,336,Total,lag-augmented + EHW
10,-6.19185724331093,2.03894626087952,0.00258764803013684,-9.54562539567776,-2.83808909094411,335,Total,lag-augmented + EHW
11,-7.48593178086469,2.17995899126748,0.000673352592436827,-11.0716452342565,-3.9002183274729,334,Total,lag-augmented + EHW
12,-7.6714597238424,2.25250432750252,0.00074449876289558,-11.3764996366588,-3.966419811026,333,Total,lag-augmented + EHW
13,-7.93495878806953,2.39472744953337,0.00102794440946658,-11.8739349189947,-3.99598265714433,332,Total,lag-augmented + EHW
14,-7.94891769493664,2.42888661875403,0.00118333427914715,-11.9440806592481,-3.95375473062518,331,Total,lag-augmented + EHW
15,-7.53275739909307,2.46804183985968,0.00246577055608924,-11.5923249708543,-3.47318982733189,330,Total,lag-augmented + EHW
16,-6.41546334232493,2.53144378582531,0.0117525395826823,-10.5793178348634,-2.25160884978641,329,Total,lag-augmented + EHW
17,-5.5429508873658,2.56938125722022,0.0317423343392637,-9.76920696732562,-1.31669480740599,328,Total,lag-augmented + EHW
18,-4.7872432418063,2.53327435077374,0.059718910625772,-8.95410874573962,-0.620377737872982,327,Total,lag-augmented + EHW
19,-4.07546766979963,2.54942390964568,0.110928550561596,-8.26889683421713,0.117961494617866,326,Total,lag-augmented + EHW
20,-3.62092297090158,2.65671647649244,0.173893221185471,-7.9908327030419,0.748986761238749,325,Total,lag-augmented + EHW
21,-2.94208312191047,2.64062244758104,0.266075247169971,-7.28552053222362,1.40135428840269,324,Total,lag-augmented + EHW
22,-1.9015249641508,2.67244063313776,0.477293649884331,-6.29729863237992,2.49424870407833,323,Total,lag-augmented + EHW
23,-1.18020170359654,2.70062987563223,0.662411471921729,-5.62234254958371,3.26193914239064,322,Total,lag-augmented + EHW
24,-1.11293724171819,2.75891421846507,0.686938048633407,-5.65094730040845,3.42507281697207,321,Total,lag-augmented + EHW
1,-1.12423150312526,0.94884245684233,0.236921011593273,-2.68493845966791,0.436475453417393,345,Total_FXadj,baseline + Newey-West
2,-1.65427761878504,1.00514427672954,0.100746124694682,-3.30759282797315,-0.000962409596939606,344,Total_FXadj,baseline + Newey-West
3,-2.94509701119387,1.27487864965351,0.021495454192516,-5.04208578199944,-0.84810824038829,343,Total_FXadj,baseline + Newey-West
4,-5.08340475733232,1.60553236080544,0.00168817508683045,-7.7242704841911,-2.44253903047354,342,Total_FXadj,baseline + Newey-West
5,-5.79204310261941,1.81591255804977,0.00156134817287193,-8.7789534599543,-2.80513274528451,341,Total_FXadj,baseline + Newey-West
6,-6.60839044054088,2.16154535546377,0.0024168177143166,-10.1638161582956,-3.05296472278619,340,Total_FXadj,baseline + Newey-West
7,-7.05005095214947,2.23957954927499,0.00179526010982751,-10.7338314966208,-3.36627040767817,339,Total_FXadj,baseline + Newey-West
8,-7.65817780884041,2.38510553161026,0.00145495374286176,-11.5813272931716,-3.73502832450925,338,Total_FXadj,baseline + Newey-West
9,-8.04318305480817,2.68999638493984,0.00300171181902276,-12.4678333650628,-3.61853274455354,337,Total_FXadj,baseline + Newey-West
10,-8.51140666050533,2.96126298824387,0.00431672291219165,-13.3822508270754,-3.64056249393525,336,Total_FXadj,baseline + Newey-West
11,-9.60470122806487,3.27594396174294,0.00360880179786384,-14.9931495352275,-4.21625292090223,335,Total_FXadj,baseline + Newey-West
12,-9.53504823981518,3.4957028036768,0.00672751548887679,-15.2849676751874,-3.78512880444297,334,Total_FXadj,baseline + Newey-West
13,-9.37562624768093,3.63090263582781,0.0102592857804669,-15.34792961733,-3.4033228780319,333,Total_FXadj,baseline + Newey-West
14,-9.17544454390092,3.60591171827008,0.0114096577089028,-15.1066415121643,-3.24424757563757,332,Total_FXadj,baseline + Newey-West
15,-8.49262626833231,3.35559703749714,0.0118563621849195,-14.0120922260471,-2.97316031061752,331,Total_FXadj,baseline + Newey-West
16,-7.28906449054751,3.23116943632095,0.0247564620487336,-12.6038652571748,-1.97426372392026,330,Total_FXadj,baseline + Newey-West
17,-6.31907467094044,3.15250616668872,0.045868267727698,-11.5044858732053,-1.13366346867562,329,Total_FXadj,baseline + Newey-West
18,-5.99170845543779,3.03053994543176,0.0488954329629846,-10.9765030763025,-1.00691383457304,328,Total_FXadj,baseline + Newey-West
19,-5.87498002792081,2.72663397722707,0.0319435142488589,-10.3598938147319,-1.39006624110974,327,Total_FXadj,baseline + Newey-West
20,-5.68989366250254,2.50777361257106,0.0239504366413119,-9.81481418471324,-1.56497314029184,326,Total_FXadj,baseline + Newey-West
