outcome,horizon,coef_baseline + Newey-West,coef_lag-augmented + EHW,se_baseline + Newey-West,se_lag-augmented + EHW,p_value_baseline + Newey-West,p_value_lag-augmented + EHW
Total,3,-0.245538929167303,-0.181607358938325,1.16906503860226,1.2857988138254,0.833772957342215,0.887766620536076
Total,6,-3.23940612126519,-3.23688747979612,1.71866693416473,1.62682605855433,0.0603331327016335,0.0474648705547779
Total,12,-7.65628048038673,-7.6714597238424,2.74502470347937,2.25250432750252,0.00559825152330609,0.00074449876289558
Total,18,-4.28019524327447,-4.7872432418063,2.57334561856582,2.53327435077374,0.0972446067241827,0.059718910625772
Total,24,-0.159731522181887,-1.11293724171819,2.10312260553279,2.75891421846507,0.93950795264341,0.686938048633407
Total_FXadj,3,-2.94509701119387,-2.5044602258645,1.27487864965351,1.31279519391302,0.021495454192516,0.0573017328398806
Total_FXadj,6,-6.60839044054088,-6.14318853314725,2.16154535546377,1.93476165676829,0.0024168177143166,0.00164139132704282
Total_FXadj,12,-9.53504823981518,-9.5482526263747,3.4957028036768,2.8467494814463,0.00672751548887679,0.000892546730075756
Total_FXadj,18,-5.99170845543779,-6.67956527075749,3.03053994543176,3.11911088323591,0.0488954329629846,0.033008295913188
Total_FXadj,24,-3.5351705467902,-4.63277201351853,1.59853947844168,3.1311661874251,0.0277281393059372,0.140017419449307
USD_clean,3,-3.68039713076098,-2.98540448716823,2.08838011227736,1.82950277331681,0.0789351485614678,0.103681722590428
USD_clean,6,-7.89431007440514,-7.13802662341244,3.50833467461392,2.74274343926913,0.0250992089805173,0.00967957318602375
USD_clean,12,-9.25758496914607,-10.0578596890585,5.36389440583017,3.85174553348933,0.0853203911588924,0.00944885409169697
USD_clean,18,-5.58262878376209,-7.44369825125189,4.14729194367455,4.05229020491316,0.179235266144131,0.0671740397620899
USD_clean,24,-4.14285558787759,-6.76622338899922,2.58033326695608,4.13744876008809,0.109387576911339,0.103001526733916
