"sample","index","column","horizon","b","se","p","n","sd_x","b_per_sd"
"full","one_sided_exCredit","FCI_exCredit_ZSCORE",6,-5.74319749102495,2.1743046940134,0.00865072047784265,340,0.453228505269571,-2.60298081432519
"full","one_sided_exCredit","FCI_exCredit_ZSCORE",12,-10.2202288660727,3.38156164606399,0.00270888352988928,334,0.455921850954827,-4.6596256618018
"full","one_sided_exCredit","FCI_exCredit_ZSCORE",18,-6.00929198310505,3.00550167736696,0.0464149754708169,328,0.457850218558334,-2.75135564784549
"full","one_sided_comprehensive","FCI_COMP_ZSCORE",6,-7.34382980224238,2.23195720571152,0.00110925648467817,340,0.47261123937424,-3.47077650459125
"full","one_sided_comprehensive","FCI_COMP_ZSCORE",12,-8.93267350047507,3.3941486224291,0.00890142105687369,334,0.473316447729087,-4.22798128996861
"full","one_sided_comprehensive","FCI_COMP_ZSCORE",18,-6.25715313267907,2.93858741337384,0.033999255351406,328,0.473008162983673,-2.95968450879606
"full","expanding_z_exCredit","FCI_EXP_exCredit",6,-3.2394553080813,4.0899298415196,0.428939346025193,318,0.404625979795845,-1.31076777803725
"full","expanding_z_exCredit","FCI_EXP_exCredit",12,-10.564165330802,5.5803123646772,0.0593018213750851,312,0.407637443766944,-4.30634935097949
"full","expanding_z_exCredit","FCI_EXP_exCredit",18,-12.2850122199948,5.70474463667631,0.0320917355033487,306,0.410944558247913,-5.04845891981598
"full","composite_exCredit_AVG","FCI_exCredit_AVG",6,-3.23940612126519,1.71866693416473,0.0603331327016335,340,0.885190459058684,-2.86749139156024
"full","composite_exCredit_AVG","FCI_exCredit_AVG",12,-7.65628048038673,2.74502470347937,0.00559825152330609,334,0.889905972230997,-6.81336972457176
"full","composite_exCredit_AVG","FCI_exCredit_AVG",18,-4.28019524327447,2.57334561856582,0.0972446067241827,328,0.894670149391734,-3.82936291772615
"postIT","one_sided_exCredit","FCI_exCredit_ZSCORE",6,-3.48306676207144,1.44105492930657,0.0167941205107524,168,0.389616731922824,-1.35706108890729
"postIT","one_sided_exCredit","FCI_exCredit_ZSCORE",12,-5.46007678971585,2.70602512069375,0.0453887242470219,162,0.389766307713136,-2.12815397015774
"postIT","one_sided_exCredit","FCI_exCredit_ZSCORE",18,-5.05170220076695,2.72639066112121,0.065930822587031,156,0.386283437280773,-1.9513888902311
"postIT","one_sided_comprehensive","FCI_COMP_ZSCORE",6,-3.90090175206865,1.54484642819742,0.0125583729677783,168,0.41305934234589,-1.61130391226541
"postIT","one_sided_comprehensive","FCI_COMP_ZSCORE",12,-5.16087972661525,2.7724145150894,0.0646159808935041,162,0.406363754681116,-2.09719446316503
"postIT","one_sided_comprehensive","FCI_COMP_ZSCORE",18,-4.8823065913759,2.62762435406746,0.065187026573943,156,0.394728314387745,-1.92718465113799
"postIT","expanding_z_exCredit","FCI_EXP_exCredit",6,-2.52984949275488,3.72705088254288,0.498276300912411,168,0.252826772050141,-0.639613681025903
"postIT","expanding_z_exCredit","FCI_EXP_exCredit",12,-7.61703296758892,5.97274163796949,0.204161929247656,162,0.254135658698032,-1.93575969054284
"postIT","expanding_z_exCredit","FCI_EXP_exCredit",18,-14.6312667902763,7.18927869050933,0.0436574057999994,156,0.256107149571923,-3.74717203228401
"postIT","composite_exCredit_AVG","FCI_exCredit_AVG",6,-2.26942641603031,1.18081742272187,0.056428099114833,168,0.701558867380367,-1.59213622603331
"postIT","composite_exCredit_AVG","FCI_exCredit_AVG",12,-3.99971875072756,1.7132291521228,0.020881140797161,162,0.694841363075757,-2.7791700286752
"postIT","composite_exCredit_AVG","FCI_exCredit_AVG",18,-3.15660938295714,1.99243461022332,0.115304602918491,156,0.686076432395142,-2.16567530392427
