"sample","index","column","horizon","b","se","p","n","sd_x","b_per_sd","ci95_lo","ci95_hi"
"full","one_sided_exCredit","FCI_exCredit_ZSCORE",6,-5.74319749102495,2.1743046940134,0.00865072047784265,340,0.453228505269571,-2.60298081432519,-10.0047563827076,-1.48163859934231
"full","one_sided_exCredit","FCI_exCredit_ZSCORE",12,-10.2202288660727,3.38156164606399,0.00270888352988928,334,0.455921850954827,-4.6596256618018,-16.84796790386,-3.59248982828526
"full","one_sided_exCredit","FCI_exCredit_ZSCORE",18,-6.00929198310505,3.00550167736696,0.0464149754708169,328,0.457850218558334,-2.75135564784549,-11.899967026219,-0.11861693999109
"full","one_sided_comprehensive","FCI_COMP_ZSCORE",6,-7.34382980224238,2.23195720571152,0.00110925648467817,340,0.47261123937424,-3.47077650459125,-11.7183855404716,-2.96927406401313
"full","one_sided_comprehensive","FCI_COMP_ZSCORE",12,-8.93267350047507,3.3941486224291,0.00890142105687369,334,0.473316447729087,-4.22798128996861,-15.5850825586124,-2.28026444233779
"full","one_sided_comprehensive","FCI_COMP_ZSCORE",18,-6.25715313267907,2.93858741337384,0.033999255351406,328,0.473008162983673,-2.95968450879606,-12.0166786283145,-0.497627637043618
"full","composite_exCredit","FCI_exCredit_AVG",6,-3.23940612126519,1.71866693416473,0.0603331327016335,340,0.885190459058684,-2.86749139156024,-6.60793141364793,0.129119171117549
"full","composite_exCredit","FCI_exCredit_AVG",12,-7.65628048038673,2.74502470347937,0.00559825152330609,334,0.889905972230997,-6.81336972457176,-13.036430035879,-2.27613092489443
"full","composite_exCredit","FCI_exCredit_AVG",18,-4.28019524327447,2.57334561856582,0.0972446067241827,328,0.894670149391734,-3.82936291772615,-9.32385997543743,0.763469488888495
"full","composite_ENDO_exCredit","FCI_ENDO_exCredit_AVG",6,-4.41055175507002,1.77783128414601,0.0136059649668701,340,0.878695109166875,-3.8755302559074,-7.89503704258479,-0.926066467555254
"full","composite_ENDO_exCredit","FCI_ENDO_exCredit_AVG",12,-7.94846064735573,2.78870955530705,0.00464955897097559,334,0.883380515179318,-7.02151526154364,-13.4142309391003,-2.48269035561121
"full","composite_ENDO_exCredit","FCI_ENDO_exCredit_AVG",18,-3.16025714176383,2.93079196472845,0.281722128009979,328,0.887375583950284,-2.80433502660574,-8.90450383881098,2.58398955528332
"postIT","one_sided_exCredit","FCI_exCredit_ZSCORE",6,-3.48306676207144,1.44105492930657,0.0167941205107524,168,0.389616731922824,-1.35706108890729,-6.30748252325623,-0.658651000886657
"postIT","one_sided_exCredit","FCI_exCredit_ZSCORE",12,-5.46007678971585,2.70602512069375,0.0453887242470219,162,0.389766307713136,-2.12815397015774,-10.7637885675362,-0.156365011895456
"postIT","one_sided_exCredit","FCI_exCredit_ZSCORE",18,-5.05170220076695,2.72639066112121,0.065930822587031,156,0.386283437280773,-1.9513888902311,-10.3953297043509,0.291925302816974
"postIT","one_sided_comprehensive","FCI_COMP_ZSCORE",6,-3.90090175206865,1.54484642819742,0.0125583729677783,168,0.41305934234589,-1.61130391226541,-6.92874511298093,-0.873058391156367
"postIT","one_sided_comprehensive","FCI_COMP_ZSCORE",12,-5.16087972661525,2.7724145150894,0.0646159808935041,162,0.406363754681116,-2.09719446316503,-10.5947123264065,0.272952873176042
"postIT","one_sided_comprehensive","FCI_COMP_ZSCORE",18,-4.8823065913759,2.62762435406746,0.065187026573943,156,0.394728314387745,-1.92718465113799,-10.0323556902484,0.267742507496651
"postIT","composite_exCredit","FCI_exCredit_AVG",6,-2.26942641603031,1.18081742272187,0.056428099114833,168,0.701558867380367,-1.59213622603331,-4.58378603688259,0.0449332048219726
"postIT","composite_exCredit","FCI_exCredit_AVG",12,-3.99971875072756,1.7132291521228,0.020881140797161,162,0.694841363075757,-2.7791700286752,-7.35758618615234,-0.641851315302771
"postIT","composite_exCredit","FCI_exCredit_AVG",18,-3.15660938295714,1.99243461022332,0.115304602918491,156,0.686076432395142,-2.16567530392427,-7.06170946054594,0.748490694631657
"postIT","composite_ENDO_exCredit","FCI_ENDO_exCredit_AVG",6,-3.24528604047712,1.30226205652127,0.0137398231196812,168,0.624567129691597,-2.026898987329,-5.79767276969188,-0.692899311262364
"postIT","composite_ENDO_exCredit","FCI_ENDO_exCredit_AVG",12,-4.12581230389781,1.65990503630363,0.0140243599302707,162,0.614977065699924,-2.53727994427972,-7.37916639280958,-0.872458214986044
"postIT","composite_ENDO_exCredit","FCI_ENDO_exCredit_AVG",18,-1.7460477916615,1.87809186132097,0.354075519234104,156,0.599716381746673,-1.047133463972,-5.42704019950838,1.93494461618539
