"sample","horizon","coef","se_nw","sd_boot","n_obs","lo95_pointwise","hi95_pointwise","lo95_supt","hi95_supt","crit_supt95","crit_supt90","block_L","B_effective","sig_pointwise95","sig_supt95"
"full",1,-0.457688371145828,1.24871775004455,1.35736748585189,345,-2.90513018808904,1.98975344579739,-3.80779591234187,2.89241917005022,2.68283808817206,2.40817076030184,18,999,FALSE,FALSE
"full",2,-0.616139393407872,1.23789814645056,1.26968765849776,344,-3.04237517697986,1.81009639016411,-3.93721968998302,2.70494090316728,2.68283808817206,2.40817076030184,18,999,FALSE,FALSE
"full",3,-1.31218685534496,1.35610917760286,1.31861093412492,343,-3.9701120025508,1.34573829186088,-4.9504082087376,2.32603449804768,2.68283808817206,2.40817076030184,18,999,FALSE,FALSE
"full",4,-3.87900462627772,1.58541402370682,1.67196373276154,342,-6.98635901332783,-0.771650239227617,-8.1324137546005,0.374404502045062,2.68283808817206,2.40817076030184,18,999,TRUE,FALSE
"full",5,-5.47939803289254,1.94447053766991,2.01658001740399,341,-9.2904902557248,-1.66830581006028,-10.6960976526818,-0.2626984131033,2.68283808817206,2.40817076030184,18,999,TRUE,TRUE
"full",6,-5.74319749102495,2.1743046940134,2.1668985925167,340,-10.0047563827076,-1.48163859934231,-11.5765049394154,0.0901099573654784,2.68283808817206,2.40817076030184,18,999,TRUE,FALSE
"full",7,-6.80652892786888,2.18959743594873,2.19590269902612,339,-11.0980610429697,-2.51499681276812,-12.680864326796,-0.932193528941741,2.68283808817206,2.40817076030184,18,999,TRUE,TRUE
"full",8,-8.26773256671233,2.32865409145813,2.38692502752989,338,-12.8318107184221,-3.70365441500256,-14.5151344574539,-2.02033067597077,2.68283808817206,2.40817076030184,18,999,TRUE,TRUE
"full",9,-8.44462137602095,2.44969492182742,2.65119951617387,337,-13.2459351959133,-3.64330755612855,-15.0167562167012,-1.87248653534068,2.68283808817206,2.40817076030184,18,999,TRUE,TRUE
"full",10,-8.84916916236745,2.72482108223238,3.10357219587309,336,-14.1897203478584,-3.50861797687654,-16.1594229452347,-1.53891537950023,2.68283808817206,2.40817076030184,18,999,TRUE,TRUE
"full",11,-10.2245298788971,3.03919188889208,3.42371945587164,335,-16.1812365232319,-4.26782323456239,-18.3781896356804,-2.07087012211387,2.68283808817206,2.40817076030184,18,999,TRUE,TRUE
"full",12,-10.2202288660727,3.38156164606399,3.74132255228463,334,-16.84796790386,-3.59248982828526,-19.2924112476349,-1.14804648451039,2.68283808817206,2.40817076030184,18,999,TRUE,TRUE
"full",13,-9.77441409693954,3.66247635301883,3.94937483421059,333,-16.952735843086,-2.59609235079303,-19.6002451538479,0.051416959968865,2.68283808817206,2.40817076030184,18,999,TRUE,FALSE
"full",14,-10.1435705599443,3.57765268579241,3.87341810022034,332,-17.1556409732904,-3.1315001465982,-19.7418334516393,-0.545307668249384,2.68283808817206,2.40817076030184,18,999,TRUE,TRUE
"full",15,-9.84633127423438,3.44415303182978,3.73316510719934,331,-16.5967471738652,-3.09591537460358,-19.0864362095206,-0.606226338948181,2.68283808817206,2.40817076030184,18,999,TRUE,TRUE
"full",16,-8.46797888831061,3.22053439317519,3.52184190050608,330,-14.7801103099065,-2.15584746671469,-17.1081512225891,0.172193445967865,2.68283808817206,2.40817076030184,18,999,TRUE,FALSE
"full",17,-6.63416132900944,3.03148573306108,3.36498341811575,329,-12.5757641854562,-0.692558472562723,-14.7671467174159,1.49882405939701,2.68283808817206,2.40817076030184,18,999,TRUE,FALSE
"full",18,-6.00929198310505,3.00550167736696,3.35641358027901,328,-11.899967026219,-0.11861693999109,-14.0725663572101,2.05398239100004,2.68283808817206,2.40817076030184,18,999,TRUE,FALSE
"postIT",1,-1.75161307311379,1.0074153283801,0.958435451961099,173,-3.72611083421238,0.222884687984809,-4.38303506442478,0.879808918197208,2.61205276233214,2.32789478451181,18,999,FALSE,FALSE
