sample,y,x,order,n,F_stat,F_p_asy,F_p_exact,ect_coef,bg_p_order12
full,FCI_EXP_ENDO_exCredit,DXY,"(2,2)",325,7.476,0.0133,0.0138,-0.0641,0.001
full,FCI_EXP_ENDO_exCredit,DXY,"(4,4)",325,5.371,0.0657,0.0667,-0.0569,0
full,FCI_EXP_ENDO_exCredit,DXY,"(6,6)",325,5.267,0.071,0.0708,-0.0578,0.017
full,FCI_EXP_ENDO_exCredit,DXY,"(8,8)",325,5.701,0.0515,0.0513,-0.0626,0.085
full,FCI_EXP_ENDO_exCredit,DXY,"(12,12)",325,3.363,0.2587,0.261,-0.0521,0
full,FCI_EXP_ENDO_exC_exTCN,DXY,"(2,2)",325,5.284,0.0703,0.0712,-0.0599,0.003
full,FCI_EXP_ENDO_exC_exTCN,DXY,"(4,4)",325,4.145,0.1557,0.1575,-0.0547,0
full,FCI_EXP_ENDO_exC_exTCN,DXY,"(6,6)",325,3.928,0.1799,0.1769,-0.0542,0.006
full,FCI_EXP_ENDO_exC_exTCN,DXY,"(8,8)",325,4.27,0.1432,0.1415,-0.0579,0.023
full,FCI_EXP_ENDO_exC_exTCN,DXY,"(12,12)",325,2.61,0.4043,0.4093,-0.0481,0
postIT,FCI_EXP_ENDO_exCredit,DXY,"(2,2)",176,5.936,0.0429,0.0472,-0.1249,0.003
postIT,FCI_EXP_ENDO_exCredit,DXY,"(4,4)",176,4.435,0.1279,0.1289,-0.1127,0.031
postIT,FCI_EXP_ENDO_exCredit,DXY,"(6,6)",176,4.543,0.1191,0.1217,-0.1205,0.015
postIT,FCI_EXP_ENDO_exCredit,DXY,"(8,8)",176,4.416,0.1295,0.1335,-0.1272,0.017
postIT,FCI_EXP_ENDO_exCredit,DXY,"(12,12)",176,2.366,0.4601,0.4613,-0.1001,0.146
postIT,FCI_EXP_ENDO_exC_exTCN,DXY,"(2,2)",176,7.455,0.0135,0.0145,-0.1968,0.006
postIT,FCI_EXP_ENDO_exC_exTCN,DXY,"(4,4)",176,4.666,0.1091,0.1115,-0.1677,0.021
postIT,FCI_EXP_ENDO_exC_exTCN,DXY,"(6,6)",176,5.535,0.0585,0.0633,-0.1944,0.004
postIT,FCI_EXP_ENDO_exC_exTCN,DXY,"(8,8)",176,5.642,0.0539,0.0565,-0.2107,0.005
postIT,FCI_EXP_ENDO_exC_exTCN,DXY,"(12,12)",176,2.68,0.3888,0.3845,-0.1581,0.285
