sample,y,x,case,term,estimate,se,t,p
full,lcred,DXY,3,(Intercept),-2.23367,14.02709,-0.16,0.8736
full,lcred,DXY,3,DXY,0.19207,0.13699,1.4,0.1618
full,lcred,DXY+Paraguay_ToT,3,(Intercept),6.92978,3.04606,2.27,0.0235
full,lcred,DXY+Paraguay_ToT,3,DXY,0.07669,0.02826,2.71,0.007
full,lcred,DXY+Paraguay_ToT,3,Paraguay_ToT,0.02367,0.00804,2.94,0.0035
full,lcred,FCI_EXP_ENDO_exCredit,3,(Intercept),15.2797,1.72115,8.88,0
full,lcred,FCI_EXP_ENDO_exCredit,3,FCI_EXP_ENDO_exCredit,9.352,6.75833,1.38,0.1674
full,FCI_EXP_ENDO_exCredit,DXY,3,(Intercept),-3.68244,0.60479,-6.09,0
full,FCI_EXP_ENDO_exCredit,DXY,3,DXY,0.03819,0.00644,5.93,0
full,FCI_ENDO_exCredit_AVG,DXY,3,(Intercept),-3.17031,3.02332,-1.05,0.2951
full,FCI_ENDO_exCredit_AVG,DXY,3,DXY,0.03153,0.03232,0.98,0.3301
postIT,lcred,DXY,3,(Intercept),19.41194,3.73527,5.2,0
postIT,lcred,DXY,3,DXY,-0.00293,0.03235,-0.09,0.9279
postIT,lcred,DXY+Paraguay_ToT,3,(Intercept),28.178,39.34667,0.72,0.4749
postIT,lcred,DXY+Paraguay_ToT,3,DXY,-0.05125,0.24129,-0.21,0.8321
postIT,lcred,DXY+Paraguay_ToT,3,Paraguay_ToT,-0.02098,0.07692,-0.27,0.7854
postIT,lcred,FCI_EXP_ENDO_exCredit,3,(Intercept),18.19641,0.08565,212.44,0
postIT,lcred,FCI_EXP_ENDO_exCredit,3,FCI_EXP_ENDO_exCredit,2.72165,0.45002,6.05,0
postIT,FCI_EXP_ENDO_exCredit,DXY,3,(Intercept),-1.6637,0.36632,-4.54,0
postIT,FCI_EXP_ENDO_exCredit,DXY,3,DXY,0.01665,0.00387,4.3,0
postIT,FCI_ENDO_exCredit_AVG,DXY,3,(Intercept),2.10464,4.85461,0.43,0.6652
postIT,FCI_ENDO_exCredit_AVG,DXY,3,DXY,-0.02292,0.05194,-0.44,0.6595
