sample,system,ecdet,K,n,hypothesis,trace_stat,cv_10,cv_5,cv_1,reject_5,reject_10
full,lcred_FCIexp_DXY,const,2,325,r <= 2 |,2.54,7.52,9.24,12.97,FALSE,FALSE
full,lcred_FCIexp_DXY,const,2,325,r <= 1 |,17.82,17.85,19.96,24.6,FALSE,FALSE
full,lcred_FCIexp_DXY,const,2,325,r = 0  |,70.15,32,34.91,41.07,TRUE,TRUE
full,lcred_FCIexp_DXY,trend,2,325,r <= 2 |,7.3,10.49,12.25,16.26,FALSE,FALSE
full,lcred_FCIexp_DXY,trend,2,325,r <= 1 |,28.14,22.76,25.32,30.45,TRUE,TRUE
full,lcred_FCIexp_DXY,trend,2,325,r = 0  |,75.64,39.06,42.44,48.45,TRUE,TRUE
full,lcred_DXY,const,2,336,r <= 1 |,2.23,7.52,9.24,12.97,FALSE,FALSE
full,lcred_DXY,const,2,336,r = 0  |,39.72,17.85,19.96,24.6,TRUE,TRUE
full,lcred_DXY,trend,2,336,r <= 1 |,7.26,10.49,12.25,16.26,FALSE,FALSE
full,lcred_DXY,trend,2,336,r = 0  |,33.64,22.76,25.32,30.45,TRUE,TRUE
full,FCIexp_DXY,const,2,325,r <= 1 |,2.53,7.52,9.24,12.97,FALSE,FALSE
full,FCIexp_DXY,const,2,325,r = 0  |,19.16,17.85,19.96,24.6,FALSE,TRUE
full,FCIroll_DXY,const,2,336,r <= 1 |,2.87,7.52,9.24,12.97,FALSE,FALSE
full,FCIroll_DXY,const,2,336,r = 0  |,6.37,17.85,19.96,24.6,FALSE,FALSE
full,lcred_FCIroll_DXY,const,2,336,r <= 2 |,2.34,7.52,9.24,12.97,FALSE,FALSE
full,lcred_FCIroll_DXY,const,2,336,r <= 1 |,5.22,17.85,19.96,24.6,FALSE,FALSE
full,lcred_FCIroll_DXY,const,2,336,r = 0  |,49.4,32,34.91,41.07,TRUE,TRUE
full,lcred_FCIroll_DXY,trend,2,336,r <= 2 |,2.64,10.49,12.25,16.26,FALSE,FALSE
full,lcred_FCIroll_DXY,trend,2,336,r <= 1 |,18.15,22.76,25.32,30.45,FALSE,FALSE
full,lcred_FCIroll_DXY,trend,2,336,r = 0  |,53,39.06,42.44,48.45,TRUE,TRUE
postIT,lcred_FCIexp_DXY,const,2,176,r <= 2 |,5.76,7.52,9.24,12.97,FALSE,FALSE
postIT,lcred_FCIexp_DXY,const,2,176,r <= 1 |,16.13,17.85,19.96,24.6,FALSE,FALSE
postIT,lcred_FCIexp_DXY,const,2,176,r = 0  |,57.46,32,34.91,41.07,TRUE,TRUE
postIT,lcred_FCIexp_DXY,trend,2,176,r <= 2 |,6.6,10.49,12.25,16.26,FALSE,FALSE
postIT,lcred_FCIexp_DXY,trend,2,176,r <= 1 |,17.05,22.76,25.32,30.45,FALSE,FALSE
postIT,lcred_FCIexp_DXY,trend,2,176,r = 0  |,43.38,39.06,42.44,48.45,TRUE,TRUE
postIT,lcred_DXY,const,2,176,r <= 1 |,6.6,7.52,9.24,12.97,FALSE,FALSE
postIT,lcred_DXY,const,2,176,r = 0  |,35.13,17.85,19.96,24.6,TRUE,TRUE
postIT,lcred_DXY,trend,2,176,r <= 1 |,6.88,10.49,12.25,16.26,FALSE,FALSE
postIT,lcred_DXY,trend,2,176,r = 0  |,18.75,22.76,25.32,30.45,FALSE,FALSE
postIT,FCIexp_DXY,const,2,176,r <= 1 |,6.24,7.52,9.24,12.97,FALSE,FALSE
postIT,FCIexp_DXY,const,2,176,r = 0  |,18.97,17.85,19.96,24.6,FALSE,TRUE
postIT,FCIroll_DXY,const,2,176,r <= 1 |,1.68,7.52,9.24,12.97,FALSE,FALSE
postIT,FCIroll_DXY,const,2,176,r = 0  |,8.73,17.85,19.96,24.6,FALSE,FALSE
postIT,lcred_FCIroll_DXY,const,2,176,r <= 2 |,3.97,7.52,9.24,12.97,FALSE,FALSE
postIT,lcred_FCIroll_DXY,const,2,176,r <= 1 |,17.88,17.85,19.96,24.6,FALSE,TRUE
postIT,lcred_FCIroll_DXY,const,2,176,r = 0  |,57.61,32,34.91,41.07,TRUE,TRUE
postIT,lcred_FCIroll_DXY,trend,2,176,r <= 2 |,5.85,10.49,12.25,16.26,FALSE,FALSE
postIT,lcred_FCIroll_DXY,trend,2,176,r <= 1 |,17.17,22.76,25.32,30.45,FALSE,FALSE
postIT,lcred_FCIroll_DXY,trend,2,176,r = 0  |,39.91,39.06,42.44,48.45,FALSE,TRUE
