sample,series,n,adf_p,pp_p,kpss_p,verdict
full,DXY_level,336,0.629,0.74,0.01,I(1)-consistent
full,DXY_d1,335,0.01,0.01,0.1,I(0)-consistent
full,lcred_level,360,0.734,0.941,0.01,I(1)-consistent
full,lcred_d1,359,0.01,0.01,0.059,I(0)-consistent
full,FCI_roll_ENDOexC,360,0.681,0.666,0.057,mixed/borderline
full,FCI_exp_ENDOexC,325,0.75,0.849,0.01,I(1)-consistent
full,FCI_exp_ENDOexC_d1,324,0.01,0.01,0.1,I(0)-consistent
full,CredGrowth_yoy,348,0.127,0.328,0.01,I(1)-consistent
full,ToT_level,336,0.079,0.01,0.01,mixed/borderline
full,ToT_d1,335,0.01,0.01,0.1,I(0)-consistent
postIT,DXY_level,176,0.377,0.387,0.01,I(1)-consistent
postIT,DXY_d1,175,0.01,0.01,0.1,I(0)-consistent
postIT,lcred_level,176,0.41,0.679,0.01,I(1)-consistent
postIT,lcred_d1,175,0.01,0.01,0.092,I(0)-consistent
postIT,FCI_roll_ENDOexC,176,0.498,0.505,0.01,I(1)-consistent
postIT,FCI_exp_ENDOexC,176,0.61,0.017,0.01,I(1)-consistent
postIT,FCI_exp_ENDOexC_d1,175,0.01,0.01,0.1,I(0)-consistent
postIT,CredGrowth_yoy,176,0.336,0.502,0.01,I(1)-consistent
postIT,ToT_level,176,0.173,0.01,0.01,I(1)-consistent
postIT,ToT_d1,175,0.01,0.01,0.1,I(0)-consistent
