"script","status","minutes"
"37_Micro_Freeze_Checks.R","OK",3.86
"38_CHR_Plausibly_Exogenous.R","OK",1.31
"39_PostIT_ExpandingFCI_IV.R","OK",1.01
"40_LagAugmented_LP.R","OK",0.02
"41_Falsification_Placebos.R","OK",0.02
"42_FCI_Component_Exclusion.R","OK",0.02
"43_External_Data_Fetch.R","OK",0.01
"44_Enhanced_Instrument_Robustness.R","OK",0.17
"45_COVID_Reclassification_Check.R","OK",1.69
"46_USD_ShiftShare_Decomposition.R","OK",0.01
"47_FXAdj_PostIT_Asymmetric_Check.R","OK",0.01
"49_IV_AR_Audit.R","OK",0.2
"50_Persistence_Valid_Aggregate.R","OK",3.12
"52_OneSided_FCI_Cobaseline.R","OK",0.02
"53_Currency_Migration_Test.R","OK",0.38
"54_Pipeline_Reconciliation.R","OK",0.01
"56_Aligned_Identification_Chain.R","OK",0.66
"57_Sectoral_Group_Tests.R","OK",0.01
"58_Small_Robustness_Items.R","OK",0.64
"59_Aligned_HAC_AR.R","OK",0.14
"60_Submission_Figure3_TwoPanel.R","OK",0.01
"61_Submission_Figure9_DesignAligned.R","OK",0.01
