sample,index,horizon,n,coef,se,p_value
full,FCI_exCredit_AVG,3,343,-1.97624131158352,1.0148667129147,0.0523426178759204
full,FCI_exCredit_AVG,6,340,-4.85841918595071,2.15235762799944,0.0246475772661745
full,FCI_exCredit_AVG,9,337,-5.61494477841532,2.28688793165435,0.0145993303880803
full,FCI_exCredit_AVG,12,334,-7.1991705480051,2.75109640838081,0.00929216471377213
full,FCI_exCredit_AVG,15,331,-9.03553432244188,3.19125065199785,0.00492870114295113
full,FCI_exCredit_AVG,18,328,-8.91620436784492,3.55527317424254,0.0126451397451814
full,FCI_exCredit_AVG,24,322,-7.73382811840718,4.33230149975955,0.0752107113120727
full,FCI_exCredit_ZSCORE,3,343,-3.23995911917802,1.07848050711296,0.00286534500715233
full,FCI_exCredit_ZSCORE,6,340,-8.21259278164593,2.50895478377927,0.00117590105548174
full,FCI_exCredit_ZSCORE,9,337,-8.69098222140293,2.7655431058072,0.00182830427969118
full,FCI_exCredit_ZSCORE,12,334,-9.62082025968168,3.24433285152453,0.00324777391922408
full,FCI_exCredit_ZSCORE,15,331,-12.6939577358416,3.86867302677575,0.00114767080683066
full,FCI_exCredit_ZSCORE,18,328,-13.95727715464,4.1481781048525,0.000860442115690097
full,FCI_exCredit_ZSCORE,24,322,-12.4340898910935,4.70285441455935,0.00861014652389515
postIT,FCI_exCredit_AVG,3,171,-1.00228554126798,0.833256195906638,0.230809752168625
postIT,FCI_exCredit_AVG,6,168,-1.675191132905,1.47022482759871,0.256266975534706
postIT,FCI_exCredit_AVG,9,165,-2.2231991292457,1.55785853917206,0.155579342924753
postIT,FCI_exCredit_AVG,12,162,-3.72589137993146,1.56056795989958,0.0181992668946913
postIT,FCI_exCredit_AVG,15,159,-5.17945293402506,2.42986363389678,0.034692723180788
postIT,FCI_exCredit_AVG,18,156,-4.48337183538068,3.19480670243891,0.162655946331077
postIT,FCI_exCredit_AVG,24,150,-4.08737339582566,2.82922889117002,0.150793999302221
postIT,FCI_exCredit_ZSCORE,3,171,-2.02210053433237,1.10029488987344,0.0679494148979026
postIT,FCI_exCredit_ZSCORE,6,168,-4.06993951616623,2.0580488867731,0.0497276283304747
postIT,FCI_exCredit_ZSCORE,9,165,-4.54842024533845,2.50468353572645,0.0713206013996343
postIT,FCI_exCredit_ZSCORE,12,162,-5.16692107871484,2.50511098301845,0.0408684806009861
postIT,FCI_exCredit_ZSCORE,15,159,-7.70170528107396,3.74908885182764,0.0417071579810645
postIT,FCI_exCredit_ZSCORE,18,156,-8.89077106572436,4.76988515954275,0.0643524739631575
postIT,FCI_exCredit_ZSCORE,24,150,-7.34210617006638,4.46402559505321,0.102285681875647
