sample,index,state,horizon,n,b_fci,p_fci,b_inter,se_inter,p_inter,p_joint_bonf3
full,FCI_exCredit_AVG,"MA12 d_ToT, lagged (predetermined)",6,306,-1.74323184625418,0.280995412586933,-0.152580458872243,0.0653338220777882,0.0201975197027835,0.0605925591083504
full,FCI_exCredit_AVG,contemporaneous d_ToT (paper baseline),6,318,-1.8664370730073,0.3096682267741,-0.157090636790491,0.0463534178937181,0.00079375197271414,0.00238125591814242
full,FCI_exCredit_AVG,"MA12 d_ToT, lagged (predetermined)",12,300,-5.4664702475304,0.0226037332623578,-0.20862234389988,0.121247737704906,0.0863960171878732,0.0605925591083504
full,FCI_exCredit_AVG,contemporaneous d_ToT (paper baseline),12,312,-5.89129138030607,0.0184803835612131,-0.217813344031469,0.074843610942985,0.00388269848308891,0.00238125591814242
full,FCI_exCredit_AVG,"MA12 d_ToT, lagged (predetermined)",18,294,-5.39740286784805,0.0126798869123605,-0.113708001110736,0.111906112071516,0.31045498556753,0.0605925591083504
full,FCI_exCredit_AVG,contemporaneous d_ToT (paper baseline),18,306,-6.73980278906469,0.00295804881584664,-0.155020333866435,0.078763277869562,0.049989954328713,0.00238125591814242
full,FCI_exCredit_ZSCORE,"MA12 d_ToT, lagged (predetermined)",6,306,-2.65947451621967,0.170778293228021,-0.334963041226032,0.139956136512093,0.0173248638329747,0.0519745914989242
full,FCI_exCredit_ZSCORE,contemporaneous d_ToT (paper baseline),6,318,-3.79277446807492,0.0424163313627343,-0.314593308197993,0.0982425291908638,0.00150778621100627,0.00452335863301882
full,FCI_exCredit_ZSCORE,"MA12 d_ToT, lagged (predetermined)",12,300,-7.0039928929763,0.0417079160881979,-0.382184977887665,0.258743172987543,0.140750004734323,0.0519745914989242
full,FCI_exCredit_ZSCORE,contemporaneous d_ToT (paper baseline),12,312,-8.69425141372343,0.0122172551749403,-0.396156726340625,0.160467610210496,0.0141170468457924,0.00452335863301882
full,FCI_exCredit_ZSCORE,"MA12 d_ToT, lagged (predetermined)",18,294,-7.24788592774041,0.00998810604036522,-0.0788677551782917,0.233212590145419,0.735480324303746,0.0519745914989242
full,FCI_exCredit_ZSCORE,contemporaneous d_ToT (paper baseline),18,306,-8.26144996939647,0.00936362292243874,-0.215113384367901,0.169819767631288,0.206262940383921,0.00452335863301882
postIT,FCI_exCredit_AVG,"MA12 d_ToT, lagged (predetermined)",6,168,-3.57124492506886,0.0135866315268153,0.209690286892723,0.0614345937687122,0.000819245562936152,0.00217872243862118
postIT,FCI_exCredit_AVG,contemporaneous d_ToT (paper baseline),6,168,-2.38266574901647,0.0439987125676163,0.0601252014706591,0.043084367614635,0.164854377697684,0.00618102452257758
postIT,FCI_exCredit_AVG,"MA12 d_ToT, lagged (predetermined)",12,162,-5.77997354923556,0.0040885937618507,0.252430815488892,0.0731417758501734,0.000726240812873726,0.00217872243862118
postIT,FCI_exCredit_AVG,contemporaneous d_ToT (paper baseline),12,162,-5.39706869071988,0.00445504810904925,0.138559162084735,0.0441757933540348,0.00206034150752586,0.00618102452257758
postIT,FCI_exCredit_AVG,"MA12 d_ToT, lagged (predetermined)",18,156,-4.37953114425723,0.0557333025794605,0.163594402764395,0.0805429155103291,0.0440929148441666,0.00217872243862118
postIT,FCI_exCredit_AVG,contemporaneous d_ToT (paper baseline),18,156,-4.30013731167438,0.0428878582894087,0.061578820125439,0.0285084293801964,0.0324377198649341,0.00618102452257758
postIT,FCI_exCredit_ZSCORE,"MA12 d_ToT, lagged (predetermined)",6,168,-6.19729836371255,0.000377183200238588,0.3451399666408,0.0932877402503492,0.000299250009940142,4.04932998273023e-05
postIT,FCI_exCredit_ZSCORE,contemporaneous d_ToT (paper baseline),6,168,-3.37006468711919,0.012536436313951,0.0328781575177923,0.0623150579052527,0.598523268819881,0.0224607044835731
postIT,FCI_exCredit_ZSCORE,"MA12 d_ToT, lagged (predetermined)",12,162,-10.0970600860337,0.000153322781178881,0.558895968516371,0.12414812502909,1.34977666091008e-05,4.04932998273023e-05
postIT,FCI_exCredit_ZSCORE,contemporaneous d_ToT (paper baseline),12,162,-6.94049843161266,0.00196054058442252,0.224748986577063,0.0828895478972978,0.00748690149452437,0.0224607044835731
postIT,FCI_exCredit_ZSCORE,"MA12 d_ToT, lagged (predetermined)",18,156,-8.53947770247161,0.0025054636404855,0.384106112475525,0.144712230646437,0.00884816306183413,4.04932998273023e-05
postIT,FCI_exCredit_ZSCORE,contemporaneous d_ToT (paper baseline),18,156,-6.53822584944338,0.0107404962780186,0.106503533588266,0.107579983548673,0.323849248757634,0.0224607044835731
