sample,index,horizon,coef,se,p_value,ci_lower,ci_upper,n_obs,coef_per_sd
full,DOM8_ROLL,6,-5.40903849925412,1.52626734864129,0.000455696940622758,-7.91952488336435,-2.89855211514389,317,-2.77203925047217
full,DOM8_ROLL,12,-7.39038990806716,2.29974171656321,0.00145367697761543,-11.1731284116078,-3.60765140452657,311,-3.78744778841574
full,DOM8_ROLL,18,-6.16170043532166,2.10190774142885,0.00363837788283196,-9.61903100732829,-2.70436986331504,305,-3.15776555458395
full,DOM7_ROLL,6,-4.94601451143101,1.51303913585926,0.00120254144644244,-7.43474242176863,-2.4572866010934,317,-2.40143911510429
full,DOM7_ROLL,12,-5.0039421474561,2.08727647281093,0.0171253195026582,-8.43720642420963,-1.57067787070257,311,-2.42956472829743
full,DOM7_ROLL,18,-4.08900335845779,1.93886342259265,0.0357927526292828,-7.27814989127285,-0.899856825642725,305,-1.98533437055208
full,DOM8_EXP,6,-8.85895559639005,4.50131013449698,0.0499610139239377,-16.2629518971508,-1.45495929562927,317,-3.95340843722791
full,DOM8_EXP,12,-9.57001078677429,5.06030029743014,0.0595616606072565,-17.8934640844659,-1.24655748908272,311,-4.27072480239236
full,DOM8_EXP,18,-8.62160836862973,3.99901127174369,0.0318998670533234,-15.1993965631771,-2.04382017408231,305,-3.84748957099466
full,DOM7_EXP,6,-8.59303405593057,3.84450869087545,0.0261291909976072,-14.9166881199635,-2.26937999189763,317,-3.6489064111845
full,DOM7_EXP,12,-6.67447610919958,4.39927799907208,0.130275444996517,-13.9106444819411,0.561692263541938,311,-2.83421879951094
full,DOM7_EXP,18,-6.53425325289111,3.65368000370108,0.07474056515048,-12.5440220586989,-0.524484447083318,305,-2.77467521152464
postIT,DOM8_ROLL,6,-3.87820171027705,1.2517961215327,0.00230805332052601,-5.93722310098389,-1.81918031957021,168,-1.3306837047683
postIT,DOM8_ROLL,12,-4.2472325980589,2.17397079536003,0.052587794726117,-7.82309634569342,-0.671368850424382,162,-1.45730511995312
postIT,DOM8_ROLL,18,-2.20423083423778,2.06725271385333,0.288077868625319,-5.6045589584447,1.19609728996914,156,-0.756312918148475
postIT,DOM7_ROLL,6,-2.50645644366563,1.30926077168751,0.0573871992614606,-4.65999877260112,-0.35291411473015,168,-0.999821117168284
postIT,DOM7_ROLL,12,-1.69962184395403,1.96429781722756,0.388270492278457,-4.93060423303364,1.53136054512558,162,-0.677976198262006
postIT,DOM7_ROLL,18,0.640016551333574,2.04366107002035,0.754600325225926,-2.72150677194892,4.00153987461607,156,0.255301489470403
postIT,DOM8_EXP,6,-7.08705977890384,3.96046497608229,0.0754698116696992,-13.6014449592271,-0.572674598580607,168,-1.33884173793028
postIT,DOM8_EXP,12,-12.1063063724851,6.22819161598234,0.0537798950851788,-22.3507699413824,-1.86184280358783,162,-2.28704551242849
postIT,DOM8_EXP,18,-15.2804046942153,5.12626634378479,0.00337259582888379,-23.712362482509,-6.84844690592163,156,-2.8866757464046
postIT,DOM7_EXP,6,-10.5549293659989,3.76402928885882,0.00568220001774517,-16.7462065937299,-4.36365213826785,168,-1.3485368718242
postIT,DOM7_EXP,12,-10.6252129429527,4.50325454211361,0.0195814423274017,-18.0324075096339,-3.21801837627141,162,-1.35751656194996
postIT,DOM7_EXP,18,-13.7784670678105,3.73060567791677,0.000312769943965182,-19.9147673478577,-7.64216678776338,156,-1.76038798876411
