sample,method,variable,effective_weight,weight_share_abs,R2,n
full,FCI_COMP_ZSCORE,TPM,0.0833,0.0833,1,337
full,FCI_COMP_ZSCORE,Spread_activas_pasivas,0.0833,0.0833,1,337
full,FCI_COMP_ZSCORE,Spread_mercado_TPM,0.0833,0.0833,1,337
full,FCI_COMP_ZSCORE,Crecimiento_creditos,0.0833,0.0833,1,337
full,FCI_COMP_ZSCORE,Ratio_Cred_Depo,0.0833,0.0833,1,337
full,FCI_COMP_ZSCORE,Morosidad,0.0833,0.0833,1,337
full,FCI_COMP_ZSCORE,Rentabilidad,0.0833,0.0833,1,337
full,FCI_COMP_ZSCORE,Liquidez,0.0833,0.0833,1,337
full,FCI_COMP_ZSCORE,TCN,0.0833,0.0833,1,337
full,FCI_COMP_ZSCORE,Commodities,0.0833,0.0833,1,337
full,FCI_COMP_ZSCORE,FFER,0.0833,0.0833,1,337
full,FCI_COMP_ZSCORE,VIX,0.0833,0.0833,1,337
full,FCI_COMP_PCA,TPM,0.2918,0.1206,1,337
full,FCI_COMP_PCA,Spread_activas_pasivas,0.3595,0.1486,1,337
full,FCI_COMP_PCA,Spread_mercado_TPM,-0.2935,0.1213,1,337
full,FCI_COMP_PCA,Crecimiento_creditos,0.335,0.1385,1,337
full,FCI_COMP_PCA,Ratio_Cred_Depo,-0.0343,0.0142,1,337
full,FCI_COMP_PCA,Morosidad,0.3718,0.1537,1,337
full,FCI_COMP_PCA,Rentabilidad,0.21,0.0868,1,337
full,FCI_COMP_PCA,Liquidez,0.0727,0.0301,1,337
full,FCI_COMP_PCA,TCN,0.2185,0.0903,1,337
full,FCI_COMP_PCA,Commodities,0.1604,0.0663,1,337
full,FCI_COMP_PCA,FFER,0.0555,0.0229,1,337
full,FCI_COMP_PCA,VIX,0.0164,0.0068,1,337
full,FCI_COMP_VAR,TPM,0.0671,0.0812,0.958,337
full,FCI_COMP_VAR,Spread_activas_pasivas,0.0417,0.0505,0.958,337
