sample,variant,horizon,coef,se,p_value,ci_lower,ci_upper,n_obs
full,OS_base,6,-5.74319749102496,2.17430469401341,0.00865072047784287,-9.31961045307052,-2.1667845289794,340
full,OS_base,12,-10.2202288660727,3.38156164606402,0.00270888352988955,-15.7824028043611,-4.65805492778426,334
full,OS_base,18,-6.00929198310502,3.00550167736707,0.0464149754708263,-10.952902317931,-1.06568164827906,328
full,OS_flipLiq,6,-8.1352313339714,2.36702312631616,0.000663920550278038,-12.0286379083705,-4.24182475957225,340
full,OS_flipLiq,12,-10.1526856356619,3.47746383307717,0.00375148702515544,-15.8726046340914,-4.43276663723231,334
full,OS_flipLiq,18,-6.79474712291074,3.32745834201228,0.0419765477073118,-12.2679290452996,-1.32156520052192,328
full,OS_flipLDR,6,-2.62720700610607,2.1824729312138,0.229541832630815,-6.2170555227365,0.962641510524352,340
full,OS_flipLDR,12,-9.40571922707224,3.55675159235323,0.00858155062488018,-15.2560549839199,-3.55538347022461,334
full,OS_flipLDR,18,-6.99822573369159,3.57438526341674,0.0511207677420069,-12.8775662983445,-1.11888516903867,328
full,OS_flipBoth,6,-5.68580820755969,2.31015821445891,0.0143594012804626,-9.48568032544417,-1.88593608967522,340
full,OS_flipBoth,12,-10.5084260873597,3.76261826877105,0.00553611472036929,-16.6973823935816,-4.31946978113776,334
full,OS_flipBoth,18,-8.23319138222311,4.03806165413096,0.0422895829648537,-14.8752117398741,-1.59117102457215,328
postIT,OS_base,6,-3.48306676207145,1.44105492930656,0.0167941205107519,-5.85339118917765,-1.11274233496525,168
postIT,OS_base,12,-5.46007678971586,2.70602512069377,0.0453887242470238,-9.91109202411081,-1.00906155532091,162
postIT,OS_base,18,-5.05170220076695,2.7263906611212,0.0659308225870302,-9.53621576819878,-0.567188633335115,156
postIT,OS_flipLiq,6,-4.45840649548482,1.55662411095748,0.00475349607115362,-7.01882531019335,-1.89798768077629,168
postIT,OS_flipLiq,12,-5.5194840254092,2.36739885974266,0.0210514093265384,-9.4135086262977,-1.62545942452071,162
postIT,OS_flipLiq,18,-4.13309222776151,2.0893083822449,0.0498000283572287,-7.56969869811715,-0.696485757405875,156
postIT,OS_flipLDR,6,-1.85466692988525,1.63023725025885,0.256992825376525,-4.53616858376491,0.826834723994408,168
postIT,OS_flipLDR,12,-5.26493499733984,3.03971140106094,0.0853065608049933,-10.2648153202607,-0.265054674419023,162
postIT,OS_flipLDR,18,-4.95274777301472,3.27773604504458,0.132957813118814,-10.3441437948959,0.438648248866426,156
postIT,OS_flipBoth,6,-3.55388368334535,1.54229826026078,0.0225177802743206,-6.09073857057624,-1.01702879611446,168
postIT,OS_flipBoth,12,-6.01945534280827,2.57535325201289,0.0207350342742057,-10.2555344800629,-1.7833762055536,162
postIT,OS_flipBoth,18,-4.26904194301347,2.66431800091564,0.111265100069057,-8.65145507017165,0.113371184144719,156
