grid,lag_convention,candidate,N,coef,t_nw3,p_nw3,t_nw13,p_nw13,partial_R2_classical,F_classical,F_hac_nw3,F_hac_nw13,rank_partialR2,ratio_to_next
level,contemp,DXY,336,0.0407141899601207,5.78535966107324,1.68927727638928e-08,3.48196272576525,0.00056518500343424,0.234971697225788,100.742307716692,33.4703864079735,12.1240644236186,1,5.66931049061068
level,contemp,FFER,336,-0.0795479864840895,-1.89439009627412,0.0590527051767307,-1.13017316703887,0.259229029390088,0.0336589976984322,11.4246950287644,3.58871383686145,1.27729138749467,3,
level,contemp,US10Y,336,-0.118895682844304,-1.72311340853397,0.085810475158759,-1.06316157970621,0.288490779796328,0.0271210653084046,9.1436962030398,2.96911981866956,1.1303125445634,4,
level,contemp,Selic,336,0.0306557123068374,2.50638160436177,0.0126809393298208,1.65837534522801,0.0981976798177242,0.0414462565800444,14.1821700155826,6.28194874668306,2.75020878566011,2,
level,contemp,ToT,336,0.00572224234500282,1.72430782117104,0.0855944388190111,1.03777182294508,0.300140728606096,0.0269314786876552,9.07800922142392,2.97323746215161,1.07697035649875,5,
level,contemp,SP500,336,-1.14833982041726e-05,-0.218481211888165,0.827190068764701,-0.133177191983716,0.894134916277772,0.000320260073724099,0.105078956775921,0.0477340399481212,0.0177361644646675,6,
level,contemp,VIX,336,0.0014607630997312,0.122647781023822,0.902461129377892,0.0771187866407976,0.938576068009035,0.000144171728849063,0.0472951456852367,0.0150424781900673,0.00594730725294886,7,
level,lagmatched,DXY,334,0.026222698051504,1.4548085162288,0.146690384069723,1.75282681727352,0.0805775258194559,0.236662854716197,33.4840096113054,11.1655913892701,4.2149517856891,1,5.71780831666003
level,lagmatched,FFER,334,-0.0851175276969676,-0.221951184668854,0.824491716008358,-0.175522294723641,0.860778897665392,0.0405316967654846,4.56234274328331,1.6632825832332,0.992071913146653,3,
level,lagmatched,US10Y,334,-0.0684674412575166,-0.344834256595526,0.730442713389739,-0.39561724365415,0.692647779739598,0.0301362113549227,3.35584322709745,1.06010921906717,0.400665911467011,4,
level,lagmatched,Selic,334,0.0353914898156496,1.43198874355815,0.153111026969551,1.0721373524694,0.284456270633384,0.0413904841872069,4.66318372442626,1.99325865019927,1.04457871410943,2,
level,lagmatched,ToT,334,0.00543219751188955,1.47720832668461,0.140591133482557,1.42824607217197,0.154184272404268,0.0285942666873532,3.17908438907702,1.16972534002063,0.719409360580878,5,
level,lagmatched,SP500,334,4.28529985136084e-05,0.146922088924123,0.883284894126021,0.145549025219735,0.88436791736286,0.00101026836781104,0.109219324552337,0.460205437470932,1.10539506518639,7,
level,lagmatched,VIX,334,-0.00188335220539772,-0.17610685495877,0.860320015014495,-0.141159782149837,0.887831440838924,0.00175041494311057,0.189376300963016,0.170992239300711,0.319637643879696,6,
d12,contemp,DXY,324,0.0252522940930994,2.3202684532106,0.0209629280297211,1.83666859450925,0.0671979620753874,0.0458345491354462,15.1794612912021,5.38364569496432,3.37335152605658,1,3.03348751686797
d12,contemp,FFER,324,0.0244655239743064,0.347893371992829,0.72815188800798,0.207198028564959,0.835988661606724,0.00175527024092537,0.555640695710205,0.121029798276541,0.0429310230412056,7,
d12,contemp,US10Y,324,0.0772071838986996,0.860438443899027,0.390199746980429,0.597535202138029,0.550578054099733,0.00483688231663237,1.53588370076845,0.74035431573938,0.357048317794135,6,
d12,contemp,Selic,324,0.0169756242979663,1.06829515495162,0.286202800592418,0.733579366130105,0.463749028870073,0.00966545056557166,3.08409151277701,1.14125453809312,0.538138686411846,4,
d12,contemp,ToT,324,0.00367782636636063,0.727476993668875,0.467472439434703,0.463246868436785,0.643506308606842,0.0062731622825466,1.9948331936351,0.529222776317505,0.214597661116488,5,
d12,contemp,SP500,324,-0.00673418557687743,-1.06138903862245,0.289323648449426,-0.678535251444604,0.497928982468981,0.0121827340876404,3.8972228007558,1.12654669130788,0.460410087452992,3,
d12,contemp,VIX,324,-0.0115634736413766,-1.54180666640359,0.12412136304385,-1.26149351102489,0.208061516421635,0.0151095229107023,4.84785806224108,2.37716779656656,1.5913658783579,2,
d12,lagmatched,DXY,322,-0.00307409020728767,-0.205746198871199,0.837123349979106,-0.215774969895042,0.829304153445946,0.0820056166224432,9.29045349640927,3.52118799653964,2.34800394299585,1,4.13425473718528
