component,treatment,h,b,se,p,n
diff_agg,shk,6,-0.106982971397845,0.301343633559924,0.723260737211237,113
diff_agg,shk,12,-0.062292778433208,0.278000892775547,0.823143573563753,107
diff_agg,shk,18,0.253381727127109,0.339928677167107,0.457834320126481,101
diff_agg,FCI,6,0.34319269612193,1.1052977536367,0.756775247441391,113
diff_agg,FCI,12,-0.683138313875166,1.04246112678486,0.51372722167537,107
diff_agg,FCI,18,0.874078564085007,0.925434716233508,0.347257900956467,101
within,shk,6,-0.0379747979275016,0.255497136844758,0.882119428474379,113
within,shk,12,0.123910556637356,0.355402202357342,0.728064630988151,107
within,shk,18,0.384559645415859,0.405922177088133,0.345803011465121,101
within,FCI,6,0.579209551938384,1.00874368546617,0.567022940939198,113
within,FCI,12,-1.5244388146973,1.21521900064472,0.212515544224849,107
within,FCI,18,-0.642452885252347,1.5184631511633,0.673163125486395,101
between,shk,6,-0.0460117142150581,0.208840642582107,0.826034280501254,113
between,shk,12,-0.211633276735576,0.173350027300052,0.224932615721885,107
between,shk,18,-0.204445383261649,0.290360899779787,0.483052563189868,101
between,FCI,6,-0.371448058285711,0.80314849832152,0.64465196379285,113
between,FCI,12,0.570797951390155,0.789021415729016,0.471058425473422,107
between,FCI,18,1.30661245180508,1.06978569295161,0.224903259405712,101
